chrom	start	end	Tregs-NK	Tregs-Naive CD4 T	Tregs-Naive CD8 T	Tregs-CD4 TCM	Tregs-CD8 TCM	Tregs-CD8 TEMRA	Tregs-CD4 TEM	Tregs-CD8 TEM	Minimum delta	Maximum delta	Average delta	(Minimum delta+Average delta)/2
chr6	43222409	43222411	0.8156666666666667	0.7536666666666666	0.8490000000000001	0.7275	0.7075	0.8365	0.7274999999999999	0.8220000000000001	0.7075	0.8490000000000001	0.7799166666666667	0.7437083333333334
chr6	156866345	156866347	0.813	0.8270000000000001	0.8606666666666667	0.7290000000000001	0.9195	0.755	0.6755	0.9025	0.6755	0.9195	0.8102708333333333	0.7428854166666666
chr10	6060348	6060350	0.911	0.8743333333333334	0.8843333333333334	0.7055	0.6865000000000001	0.8079999999999999	0.7095	0.736	0.6865000000000001	0.911	0.7893958333333334	0.7379479166666667
chr13	49761409	49761411	0.6709999999999999	0.921	0.921	0.611	0.921	0.8925000000000001	0.8480000000000001	0.9045	0.611	0.921	0.8362499999999999	0.723625
chr1	12169464	12169466	0.8346666666666667	0.6809999999999999	0.8540000000000001	0.8400000000000001	0.7435	0.7589999999999999	0.687	0.6855	0.6809999999999999	0.8540000000000001	0.7605833333333334	0.7207916666666667
chr2	213017228	213017230	0.809	0.7933333333333333	0.7933333333333333	0.6765000000000001	0.6835	0.8355	0.7025000000000001	0.72	0.6765000000000001	0.8355	0.7517083333333333	0.7141041666666668
chr10	104746198	104746200	0.597	0.8646666666666666	0.9475	0.938	0.8755	0.95	0.583	1.0	0.583	1.0	0.8444583333333333	0.7137291666666666
chrX	41920068	41920070	0.9236666666666666	0.9166666666666666	0.8435	0.759	0.902	0.884	0.664	0.607	0.607	0.9236666666666666	0.8124791666666666	0.7097395833333333
chr2	101176592	101176594	0.8316666666666667	0.848	0.831	0.636	0.767	0.8275	0.6960000000000001	0.7915	0.636	0.848	0.7785833333333333	0.7072916666666667
chr3	155693186	155693188	0.716	0.746	0.7603333333333333	0.76	0.7879999999999999	0.768	0.708	0.665	0.665	0.7879999999999999	0.7389166666666667	0.7019583333333334
chr12	56022861	56022863	0.7578333333333334	0.7775000000000001	0.7481666666666665	0.6545	0.7469999999999999	0.7685000000000001	0.7404999999999999	0.792	0.6545	0.792	0.74825	0.701375
chr18	13383749	13383751	0.8463333333333334	0.7783333333333333	0.8896666666666667	0.5890000000000001	0.8325	0.8635	0.8055	0.8825000000000001	0.5890000000000001	0.8896666666666667	0.8109166666666667	0.6999583333333335
chr16	857697	857699	0.789	0.95	0.7936666666666667	0.6709999999999999	0.7695000000000001	0.6459999999999999	0.6275	0.857	0.6275	0.95	0.7629583333333333	0.6952291666666666
chr18	13383786	13383788	0.8395	0.7424999999999999	0.8721666666666668	0.5855	0.852	0.8420000000000001	0.7829999999999999	0.8674999999999999	0.5855	0.8721666666666668	0.7980208333333332	0.6917604166666667
chr10	6040529	6040531	0.7583333333333333	0.769	0.6766666666666666	0.7100000000000001	0.662	0.6885	0.769	0.7155	0.662	0.769	0.7186250000000001	0.6903125000000001
chr15	34418925	34418927	0.8335	0.5	0.75	0.96	1.0	1.0	1.0	1.0	0.5	1.0	0.8804375	0.69021875
chr18	13384571	13384573	0.8193333333333334	0.7136666666666668	0.8336666666666667	0.6224999999999999	0.8340000000000001	0.768	0.7505000000000001	0.7104999999999999	0.6224999999999999	0.8340000000000001	0.7565208333333333	0.6895104166666666
chrX	49263858	49263860	0.7551666666666667	0.7124999999999999	0.7111666666666666	0.6865	0.7180000000000001	0.6905	0.7420000000000001	0.6675	0.6675	0.7551666666666667	0.7104166666666667	0.6889583333333333
chr10	17650920	17650922	0.7360000000000001	0.7370000000000001	0.7783333333333334	0.6625000000000001	0.6740000000000002	0.726	0.6839999999999999	0.7025	0.6625000000000001	0.7783333333333334	0.7125416666666667	0.6875208333333334
chr2	55575081	55575083	0.9445	0.7639999999999999	0.7603333333333334	1.0	0.8665	0.6425000000000001	1.0	0.556	0.556	1.0	0.8167291666666667	0.6863645833333334
chr3	38405463	38405465	0.969	0.826	0.9440000000000001	0.62	0.907	0.628	0.606	0.631	0.606	0.969	0.766375	0.6861875
chr2	203870910	203870912	0.8911666666666666	0.8051666666666667	0.8975	0.563	0.8200000000000001	0.895	0.6645	0.8839999999999999	0.563	0.8975	0.8025416666666667	0.6827708333333333
chr2	37643638	37643640	0.903	0.913	0.8953333333333334	0.6215	0.8190000000000001	0.8190000000000001	0.5840000000000001	0.6910000000000001	0.5840000000000001	0.913	0.7807291666666666	0.6823645833333334
chr1	172228407	172228409	0.7769999999999999	0.833	0.633	0.8140000000000001	0.833	0.6659999999999999	0.611	0.833	0.611	0.833	0.7499999999999999	0.6804999999999999
chr8	129856898	129856900	0.7140000000000001	0.743	0.7303333333333334	0.6815	0.7355	0.6615000000000001	0.6635	0.6605	0.6605	0.743	0.6987291666666667	0.6796145833333334
chr10	6060483	6060485	0.7936666666666666	0.7756666666666667	0.7766666666666666	0.6829999999999999	0.6459999999999999	0.703	0.63	0.757	0.63	0.7936666666666666	0.720625	0.6753125
chr8	143307971	143307973	0.9833333333333334	1.0	1.0	0.6415	0.941	0.7735000000000001	0.5	0.903	0.5	1.0	0.8427916666666666	0.6713958333333333
chr1	12170596	12170598	0.7801666666666667	0.8315	0.8315	0.7175	0.7979999999999999	0.626	0.5930000000000001	0.81	0.5930000000000001	0.8315	0.7484583333333334	0.6707291666666668
chr14	77120102	77120104	0.8923333333333334	0.6453333333333333	0.7050000000000001	0.597	0.7575000000000001	0.893	0.603	0.8390000000000001	0.597	0.893	0.7415208333333333	0.6692604166666667
chr17	56838836	56838838	0.9183333333333332	0.804	0.6793333333333333	0.56	0.7235	0.9055	0.7145000000000001	0.8560000000000001	0.56	0.9183333333333332	0.7701458333333333	0.6650729166666667
chrX	49262072	49262074	0.7783333333333334	0.7506666666666667	0.7073333333333334	0.7100000000000001	0.7565000000000001	0.617	0.7235	0.6609999999999999	0.617	0.7783333333333334	0.7130416666666666	0.6650208333333333
chr3	67002012	67002014	0.6646666666666667	0.775	0.775	0.6204999999999999	0.6985	0.7615	0.703	0.6415000000000001	0.6204999999999999	0.775	0.7049583333333334	0.6627291666666666
chr10	17655226	17655228	0.8140000000000001	0.7669999999999999	0.86	0.5815	0.645	0.8475	0.625	0.8115	0.5815	0.86	0.7439374999999999	0.66271875
chr1	12168978	12168980	0.8176666666666665	0.9266666666666666	0.8646666666666667	0.7155	0.7635	0.5705	0.6839999999999999	0.6599999999999999	0.5705	0.9266666666666666	0.7503125	0.6604062500000001
chr2	203868496	203868498	0.963	1.0	0.9173333333333332	0.517	0.7145	0.968	0.5645	0.7759999999999999	0.517	1.0	0.8025416666666666	0.6597708333333333
chr14	77120067	77120069	0.8405	0.6425000000000001	0.7348333333333333	0.591	0.735	0.8674999999999999	0.5974999999999999	0.8109999999999999	0.591	0.8674999999999999	0.7274791666666667	0.6592395833333333
chr3	155613812	155613814	0.866	0.7143333333333334	0.674	0.8895	0.551	0.7364999999999999	0.84	0.862	0.551	0.8895	0.7666666666666666	0.6588333333333334
chrX	29727967	29727969	0.7996666666666667	0.833	0.833	0.583	0.7330000000000001	0.722	0.6165	0.7495	0.583	0.833	0.7337083333333334	0.6583541666666667
chr6	43222387	43222389	0.8051666666666668	0.7728333333333333	0.8208333333333333	0.574	0.6859999999999999	0.7995	0.6695000000000001	0.8130000000000001	0.574	0.8208333333333333	0.7426041666666666	0.6583020833333333
chrX	49263881	49263883	0.7636666666666667	0.7026666666666668	0.6973333333333334	0.6105	0.6805	0.7605000000000001	0.6859999999999999	0.743	0.6105	0.7636666666666667	0.7055208333333334	0.6580104166666667
chr17	65937013	65937015	0.778	0.9333333333333332	0.9165	0.529	0.569	0.857	0.7065	1.0	0.529	1.0	0.7861666666666667	0.6575833333333334
chr12	56022837	56022839	0.7595	0.7058333333333333	0.7651666666666666	0.601	0.6665	0.7795	0.721	0.7140000000000001	0.601	0.7795	0.7140625	0.65753125
chr6	43222385	43222387	0.826	0.7843333333333333	0.826	0.5884999999999999	0.6705	0.7304999999999999	0.5855	0.8124999999999999	0.5855	0.826	0.7279791666666666	0.6567395833333334
chr10	6060481	6060483	0.8136666666666668	0.8069999999999999	0.8123333333333332	0.7455	0.634	0.647	0.5859999999999999	0.7484999999999999	0.5859999999999999	0.8136666666666668	0.7242499999999998	0.6551249999999998
chr2	213124248	213124250	0.6579999999999999	0.6473333333333332	0.7140000000000001	0.6425	0.69	0.7140000000000001	0.6369999999999999	0.6804999999999999	0.6369999999999999	0.7140000000000001	0.6729166666666666	0.6549583333333333
chr6	38938121	38938123	0.6803333333333332	0.7023333333333334	0.716	0.6425	0.623	0.6975	0.7094999999999999	0.7020000000000001	0.623	0.716	0.6841458333333333	0.6535729166666666
chr3	196329091	196329093	0.731	0.9186666666666669	0.9066666666666666	0.9279999999999999	0.8474999999999999	0.94	0.8945000000000001	0.4765	0.4765	0.94	0.8303541666666666	0.6534270833333333
chr10	6040252	6040254	0.867	0.7639999999999999	0.875	0.532	0.705	0.845	0.775	0.8335	0.532	0.875	0.7745625	0.65328125
chr2	203870885	203870887	0.8585	0.8305	0.8371666666666666	0.5350000000000001	0.7959999999999999	0.8380000000000001	0.6655	0.8115000000000001	0.5350000000000001	0.8585	0.7715208333333334	0.6532604166666668
chr2	213107436	213107438	0.7545	0.8260000000000001	0.8260000000000001	0.619	0.6705000000000001	0.6040000000000001	0.6225	0.6975	0.6040000000000001	0.8260000000000001	0.7025000000000001	0.6532500000000001
chr10	17650924	17650926	0.7006666666666668	0.7273333333333333	0.6896666666666668	0.664	0.619	0.7025	0.6635	0.733	0.619	0.733	0.6874583333333333	0.6532291666666666
chr2	213139166	213139168	0.6836666666666668	0.68	0.7233333333333334	0.6675	0.6235	0.6965	0.757	0.626	0.6235	0.757	0.6821875000000001	0.6528437500000001
chr12	56032399	56032401	0.8181666666666665	0.7891666666666666	0.5878333333333332	0.6499999999999999	0.619	0.8194999999999999	0.7424999999999999	0.7024999999999999	0.5878333333333332	0.8194999999999999	0.7160833333333332	0.6519583333333332
chr6	43222342	43222344	0.7706666666666666	0.7776666666666665	0.7169999999999999	0.5774999999999999	0.7135	0.7875000000000001	0.6859999999999999	0.7670000000000001	0.5774999999999999	0.7875000000000001	0.7246041666666666	0.6510520833333333
chr13	75300137	75300139	0.857	0.7929999999999999	0.8669999999999999	0.5750000000000001	0.8230000000000001	0.7205	0.5695	0.629	0.5695	0.8669999999999999	0.72925	0.649375
chrX	132705187	132705189	0.701	0.888	0.7659999999999999	0.956	0.884	0.491	0.955	0.8190000000000001	0.491	0.956	0.8075	0.64925
chrX	49260091	49260093	0.746	0.7153333333333334	0.6683333333333334	0.6609999999999999	0.6895	0.6925	0.6435000000000001	0.619	0.619	0.746	0.6793958333333334	0.6491979166666667
chr10	8073437	8073439	0.8398333333333334	0.6511666666666667	0.8458333333333334	0.6775	0.6305000000000001	0.7469999999999999	0.5774999999999999	0.7969999999999999	0.5774999999999999	0.8458333333333334	0.7207916666666667	0.6491458333333333
chr10	17650932	17650934	0.6163333333333333	0.7609999999999999	0.6859999999999999	0.6649999999999999	0.6515000000000001	0.7345	0.6869999999999999	0.6495000000000001	0.6163333333333333	0.7609999999999999	0.6813541666666666	0.6488437499999999
chrX	49323744	49323746	1.0	1.0	1.0	1.0	0.778	0.583	0.5	0.5	0.5	1.0	0.7951250000000001	0.6475625
chr12	56041187	56041189	0.8234999999999999	0.7408333333333335	0.7685	0.6645000000000001	0.6739999999999999	0.5814999999999999	0.6970000000000001	0.7440000000000001	0.5814999999999999	0.8234999999999999	0.7117291666666666	0.6466145833333332
chr14	55586935	55586937	0.6599999999999999	0.6576666666666667	0.741	0.6395	0.6255	0.715	0.6515000000000001	0.6505000000000001	0.6255	0.741	0.6675833333333334	0.6465416666666667
chr12	56022859	56022861	0.7423333333333334	0.6746666666666666	0.6976666666666665	0.6134999999999999	0.6120000000000001	0.679	0.6859999999999999	0.74	0.6120000000000001	0.7423333333333334	0.6806458333333334	0.6463229166666667
chr10	17656247	17656249	0.8416666666666668	0.8096666666666668	0.8296666666666667	0.5640000000000001	0.54	0.8315000000000001	0.7295	0.866	0.54	0.866	0.7515000000000001	0.64575
chr4	37954908	37954910	0.8853333333333333	0.7093333333333334	0.8916666666666668	0.5329999999999999	0.847	0.7994999999999999	0.5545	0.8385	0.5329999999999999	0.8916666666666668	0.7573541666666667	0.6451770833333332
chr18	13383856	13383858	0.8051666666666666	0.7665	0.8414999999999999	0.528	0.8440000000000001	0.7670000000000001	0.7645	0.78	0.528	0.8440000000000001	0.7620833333333333	0.6450416666666667
chr1	116381297	116381299	0.6205	0.6253333333333333	0.6920000000000001	0.6920000000000001	0.6920000000000001	0.6465000000000001	0.6920000000000001	0.6775	0.6205	0.6920000000000001	0.6672291666666668	0.6438645833333334
chr18	13384001	13384003	0.7080000000000001	0.7096666666666667	0.7170000000000001	0.597	0.6739999999999999	0.7085	0.6839999999999999	0.727	0.597	0.727	0.6906458333333334	0.6438229166666667
chrX	49264109	49264111	0.8223333333333335	0.7413333333333333	0.7023333333333334	0.615	0.6055000000000001	0.6275000000000001	0.6565000000000001	0.6859999999999999	0.6055000000000001	0.8223333333333335	0.6820625000000001	0.6437812500000002
chr13	30260564	30260566	0.6393333333333333	0.667	0.6336666666666667	0.667	0.667	0.643	0.632	0.667	0.632	0.667	0.6519999999999999	0.6419999999999999
chr2	213136846	213136848	0.6465000000000001	0.8026666666666668	0.8563333333333333	0.7050000000000001	0.5980000000000001	0.6365000000000001	0.6195	0.6195	0.5980000000000001	0.8563333333333333	0.6855000000000001	0.64175
chr8	1247526	1247528	0.6216666666666667	0.632	0.6226666666666666	0.7045	0.75	0.6910000000000001	0.6165	0.6835	0.6165	0.75	0.6652291666666668	0.6408645833333334
chr10	6040345	6040347	0.9216666666666667	0.6875	0.9683333333333334	0.485	0.7969999999999999	0.943	0.732	0.8255000000000001	0.485	0.9683333333333334	0.7949999999999999	0.6399999999999999
chr2	213124242	213124244	0.5821666666666667	0.7001666666666666	0.7188333333333334	0.6535	0.7444999999999999	0.7444999999999999	0.7195	0.7149999999999999	0.5821666666666667	0.7444999999999999	0.6972708333333333	0.63971875
chr14	77120028	77120030	0.805	0.6793333333333335	0.6880000000000001	0.6190000000000001	0.733	0.884	0.5645000000000001	0.7445	0.5645000000000001	0.884	0.7146666666666668	0.6395833333333334
chr3	16371455	16371457	0.6946666666666667	0.6346666666666666	0.6606666666666666	0.609	0.6835	0.675	0.682	0.7120000000000001	0.609	0.7120000000000001	0.6689375	0.63896875
chr6	158349830	158349832	0.69	0.6599999999999999	0.6480000000000001	0.6595	0.6829999999999999	0.6575	0.667	0.6174999999999999	0.6174999999999999	0.69	0.6603124999999999	0.6389062499999999
chr6	38938119	38938121	0.6825	0.7168333333333334	0.6678333333333335	0.6415000000000001	0.6045	0.7040000000000001	0.6995	0.669	0.6045	0.7168333333333334	0.6732083333333334	0.6388541666666667
chr19	54451195	54451197	0.5479999999999999	0.9425	0.924	0.635	0.9075	0.9595	0.494	0.8540000000000001	0.494	0.9595	0.7830625	0.63853125
chr2	106158003	106158005	0.8596666666666666	0.951	0.8280000000000001	0.517	0.8029999999999999	0.8195	0.5760000000000001	0.7254999999999999	0.517	0.951	0.7599583333333333	0.6384791666666667
chr10	17646394	17646396	0.6986666666666667	0.7833333333333334	0.8603333333333334	0.5479999999999999	0.7105	0.8245	0.605	0.7959999999999999	0.5479999999999999	0.8603333333333334	0.7282916666666667	0.6381458333333333
chr1	12169436	12169438	0.9583333333333334	0.968	0.9376666666666664	0.524	0.6679999999999999	0.581	0.624	0.7369999999999999	0.524	0.968	0.74975	0.6368750000000001
chrX	49259391	49259393	0.7076666666666667	0.7243333333333333	0.7523333333333333	0.6025	0.6515	0.6755	0.6319999999999999	0.6085	0.6025	0.7523333333333333	0.6692916666666666	0.6358958333333333
chr5	126987961	126987963	0.784	0.636	0.6623333333333332	0.5455	0.695	0.861	0.7609999999999999	0.8555	0.5455	0.861	0.7250416666666667	0.6352708333333333
chr12	56022999	56023001	0.6698333333333334	0.6555000000000002	0.6508333333333334	0.6105	0.665	0.6960000000000001	0.6605000000000001	0.6635000000000001	0.6105	0.6960000000000001	0.6589583333333334	0.6347291666666668
chr6	106612919	106612921	0.8423333333333333	0.8250000000000001	0.847	0.767	0.511	0.775	0.8065	0.693	0.511	0.847	0.7583541666666666	0.6346770833333333
chr12	56022829	56022831	0.6956666666666667	0.6223333333333333	0.6943333333333334	0.605	0.6845	0.66	0.6479999999999999	0.69	0.605	0.6956666666666667	0.6624791666666667	0.6337395833333334
chr10	17656241	17656243	0.7518333333333334	0.7448333333333335	0.7728333333333335	0.5725	0.5720000000000001	0.7060000000000001	0.6595000000000001	0.7809999999999999	0.5720000000000001	0.7809999999999999	0.6950625000000001	0.6335312500000001
chrX	9096714	9096716	0.9306666666666666	0.8150000000000001	0.7866666666666667	0.54	0.6785	0.7925	0.5579999999999999	0.7015	0.54	0.9306666666666666	0.7253541666666666	0.6326770833333333
chr17	66767368	66767370	0.8933333333333333	0.662	0.8656666666666668	0.5660000000000001	0.662	0.5529999999999999	0.792	0.7045	0.5529999999999999	0.8933333333333333	0.7123125	0.6326562499999999
chr6	149479511	149479513	0.872	0.863	0.8866666666666667	0.4805	0.725	0.9159999999999999	0.6769999999999999	0.857	0.4805	0.9159999999999999	0.7846458333333334	0.6325729166666667
chr10	17650936	17650938	0.6618333333333335	0.7108333333333334	0.7248333333333332	0.6255	0.5974999999999999	0.6895	0.6255	0.6915	0.5974999999999999	0.7248333333333332	0.665875	0.6316875
chr8	116713248	116713250	0.6200000000000001	0.782	0.6876666666666668	0.6685000000000001	0.782	0.7515000000000001	0.5865	0.5790000000000001	0.5790000000000001	0.782	0.6821458333333333	0.6305729166666667
chr6	13641532	13641534	0.843	0.7535	0.8006666666666665	0.5599999999999999	0.5870000000000001	0.7739999999999999	0.5559999999999999	0.7649999999999999	0.5559999999999999	0.843	0.7048958333333333	0.6304479166666666
chr16	857743	857745	1.0	0.882	0.8569999999999999	0.5205	0.6845	0.5115000000000001	0.6559999999999999	0.875	0.5115000000000001	1.0	0.7483124999999999	0.62990625
chr21	31172894	31172896	0.6568333333333334	0.6858333333333333	0.7221666666666666	0.5854999999999999	0.655	0.7370000000000001	0.6745000000000001	0.669	0.5854999999999999	0.7370000000000001	0.6732291666666668	0.6293645833333333
chr6	43223332	43223334	0.7793333333333333	0.7436666666666666	0.8053333333333332	0.5459999999999999	0.705	0.693	0.664	0.7555	0.5459999999999999	0.8053333333333332	0.7114791666666666	0.6287395833333332
chr18	13383553	13383555	0.8823333333333334	0.851	0.9059999999999999	0.4525	0.883	0.8960000000000001	0.6795	0.8819999999999999	0.4525	0.9059999999999999	0.8040416666666667	0.6282708333333333
chr1	40396270	40396272	0.8360000000000001	0.5489999999999999	0.7376666666666667	0.601	0.6395000000000001	0.8565	0.6829999999999999	0.7505000000000001	0.5489999999999999	0.8565	0.7066458333333333	0.6278229166666667
chr1	12169648	12169650	0.6888333333333334	0.6925000000000001	0.7071666666666667	0.5954999999999999	0.6675	0.6034999999999999	0.6025	0.716	0.5954999999999999	0.716	0.6591875	0.62734375
chr12	4790439	4790441	0.6519999999999999	0.833	0.833	0.7469999999999999	0.7330000000000001	0.7140000000000001	0.5485	0.5870000000000001	0.5485	0.833	0.7059374999999999	0.6272187499999999
chr2	54985148	54985150	0.7346666666666666	0.7346666666666666	0.8180000000000001	0.562	0.6680000000000001	0.659	0.7340000000000001	0.6255	0.562	0.8180000000000001	0.6919791666666666	0.6269895833333333
chr2	213135646	213135648	0.6315000000000001	0.6391666666666668	0.6691666666666667	0.6725000000000001	0.645	0.607	0.6940000000000001	0.6105	0.607	0.6940000000000001	0.6461041666666667	0.6265520833333333
chr2	213101657	213101659	0.5596666666666666	0.772	0.7836666666666667	0.725	0.7470000000000001	0.6679999999999999	0.6985000000000001	0.593	0.5596666666666666	0.7836666666666667	0.6933541666666667	0.6265104166666666
chrX	49263994	49263996	0.7306666666666668	0.6629999999999999	0.6763333333333333	0.6679999999999999	0.622	0.634	0.5910000000000001	0.6885	0.5910000000000001	0.7306666666666668	0.6591875	0.62509375
chr12	80990113	80990115	0.7090000000000001	0.8	0.7216666666666667	0.6305000000000001	0.7375	0.5665	0.6699999999999999	0.627	0.5665	0.8	0.6827708333333334	0.6246354166666668
chr12	69775895	69775897	1.0	1.0	1.0	0.545	0.917	1.0	0.5895	0.43799999999999994	0.43799999999999994	1.0	0.8111875	0.62459375
chr2	213142220	213142222	0.6693333333333333	0.7469999999999999	0.6993333333333334	0.5870000000000001	0.617	0.635	0.6859999999999999	0.6425000000000001	0.5870000000000001	0.7469999999999999	0.6603958333333334	0.6236979166666667
chr2	203869081	203869083	0.9413333333333332	0.8113333333333334	0.8496666666666667	0.455	0.71	0.963	0.7	0.9055	0.455	0.963	0.7919791666666667	0.6234895833333334
chr10	119727976	119727978	0.7561666666666665	0.7128333333333332	0.7658333333333334	0.539	0.735	0.7509999999999999	0.6585	0.742	0.539	0.7658333333333334	0.7075416666666666	0.6232708333333333
chrX	104121686	104121688	0.8380000000000001	0.875	0.875	0.518	0.625	0.792	0.7210000000000001	0.5695	0.518	0.875	0.7266874999999999	0.62234375
chr18	13383597	13383599	0.8759999999999999	0.7810000000000001	0.8633333333333334	0.475	0.8515	0.8715	0.608	0.8300000000000001	0.475	0.8759999999999999	0.7695416666666667	0.6222708333333333
chr1	12170509	12170511	0.7591666666666668	0.7951666666666666	0.8094999999999999	0.6185	0.7845	0.5295000000000001	0.6720000000000002	0.7444999999999999	0.5295000000000001	0.8094999999999999	0.7141041666666668	0.6218020833333334
chr10	17650980	17650982	0.5931666666666666	0.7561666666666668	0.6908333333333334	0.5695	0.6210000000000001	0.7895	0.7125	0.6595	0.5695	0.7895	0.6740208333333335	0.6217604166666668
chr6	43222396	43222398	0.8455	0.5121666666666667	0.8455	0.5455	0.7075	0.8105000000000001	0.7505000000000001	0.8320000000000001	0.5121666666666667	0.8455	0.7311458333333333	0.62165625
