chrom	start	end	celltype	blockchr	blockstart	blockend
chr6	13407925	13407927	['CD14']	chr6	13407776	13408076
chr1	113953271	113953273	['CD14']	chr1	113953122	113953422
chr3	46964379	46964381	['CD14']	chr3	46964277	46964577
chr3	101934845	101934847	['CD14']	chr3	101934688	101934988
chr15	89166406	89166408	['CD14']	chr15	89166257	89166557
chr7	151808029	151808031	['CD14']	chr7	151807880	151808180
chr16	57090684	57090686	['CD14']	chr16	57090445	57090745
chr3	12354821	12354823	['CD14']	chr3	12354721	12355021
chr8	42957921	42957923	['CD14']	chr8	42957740	42958040
chr6	127346634	127346636	['CD14']	chr6	127346396	127346696
chr16	66481249	66481251	['CD14']	chr16	66481112	66481412
chr12	104824054	104824056	['CD14']	chr12	104823867	104824167
chr2	73033107	73033109	['CD14']	chr2	73032928	73033228
chr8	8374014	8374016	['CD14']	chr8	8373865	8374165
chr19	41380359	41380361	['CD14']	chr19	41380210	41380510
chr4	120053188	120053190	['CD14']	chr4	120053039	120053339
chr2	26269040	26269042	['CD14']	chr2	26268955	26269255
chr4	41934834	41934836	['CD14']	chr4	41934685	41934985
chr13	49641980	49641982	['CD14']	chr13	49641831	49642131
chr16	68084087	68084089	['CD14']	chr16	68083938	68084238
chr13	41585233	41585235	['CD14']	chr13	41585090	41585390
chr8	47431514	47431516	['CD14']	chr8	47431348	47431648
chr12	4031969	4031971	['CD14']	chr12	4031832	4032132
chr1	159431124	159431126	['CD14']	chr1	159430964	159431264
chr4	143670579	143670581	['CD14']	chr4	143670448	143670748
chr13	114069207	114069209	['CD14']	chr13	114069058	114069358
chr10	113094085	113094087	['CD14']	chr10	113093946	113094246
chr8	47431497	47431499	['CD14']	chr8	47431348	47431648
chr7	47520616	47520618	['CD14']	chr7	47520467	47520767
chr7	151808024	151808026	['CD14']	chr7	151807880	151808180
chr10	113094095	113094097	['CD14']	chr10	113093946	113094246
chr7	931493	931495	['CD14']	chr7	931344	931644
chr10	88852153	88852155	['CD14']	chr10	88852004	88852304
chr18	11978319	11978321	['CD14']	chr18	11978170	11978470
chr16	84071370	84071372	['CD14']	chr16	84071209	84071509
chr9	124970899	124970901	['CD14']	chr9	124970694	124970994
chr9	124970852	124970854	['CD14']	chr9	124970694	124970994
chr7	47520684	47520686	['CD14']	chr7	47520467	47520767
chr20	18510839	18510841	['CD14']	chr20	18510690	18510990
chr7	101892540	101892542	['CD14']	chr7	101892391	101892691
chr3	107987397	107987399	['CD14']	chr3	107987248	107987548
chr3	46964490	46964492	['CD14']	chr3	46964277	46964577
chr17	1095174	1095176	['CD14']	chr17	1094950	1095250
chr11	17822307	17822309	['CD14']	chr11	17822158	17822458
chr7	37245812	37245814	['CD14']	chr7	37245521	37245821
chr1	19081402	19081404	['CD14']	chr1	19081253	19081553
chr17	28982094	28982096	['CD14']	chr17	28981945	28982245
chr7	37245729	37245731	['CD14']	chr7	37245521	37245821
chr1	54850807	54850809	['CD14']	chr1	54850658	54850958
chr1	235919907	235919909	['CD14']	chr1	235919758	235920058
chr4	139734323	139734325	['CD14']	chr4	139734174	139734474
chr1	226938124	226938126	['CD14']	chr1	226937975	226938275
chr19	1155184	1155186	['CD14']	chr19	1155035	1155335
chr1	159431103	159431105	['CD14']	chr1	159430964	159431264
chr4	127988851	127988853	['CD14']	chr4	127988662	127988962
chr7	931489	931491	['CD14']	chr7	931344	931644
chr15	89166375	89166377	['CD14']	chr15	89166257	89166557
chr16	57090652	57090654	['CD14']	chr16	57090445	57090745
chr17	1095198	1095200	['CD14']	chr17	1094950	1095250
chr16	84983819	84983821	['CD14']	chr16	84983798	84984098
chr6	13407853	13407855	['CD14']	chr6	13407776	13408076
chr19	1155143	1155145	['CD14']	chr19	1155035	1155335
chr8	47431579	47431581	['CD14']	chr8	47431348	47431648
chr16	57090615	57090617	['CD14']	chr16	57090445	57090745
chr10	113094087	113094089	['CD14']	chr10	113093946	113094246
chr1	154433649	154433651	['CD14']	chr1	154433509	154433809
chr6	11462985	11462987	['CD14']	chr6	11462859	11463159
chr7	931454	931456	['CD14']	chr7	931344	931644
chr2	26269008	26269010	['CD14']	chr2	26268955	26269255
chr4	120053201	120053203	['CD14']	chr4	120053039	120053339
chr3	12354879	12354881	['CD14']	chr3	12354721	12355021
chr7	931475	931477	['CD14']	chr7	931344	931644
chr7	931638	931640	['CD14']	chr7	931344	931644
chr3	101934875	101934877	['CD14']	chr3	101934688	101934988
chr2	73032981	73032983	['CD14']	chr2	73032928	73033228
chr11	68927965	68927967	['CD14']	chr11	68927914	68928214
chr17	1095006	1095008	['CD14']	chr17	1094950	1095250
chr2	73033032	73033034	['CD14']	chr2	73032928	73033228
chr3	12268250	12268252	['CD14']	chr3	12268096	12268396
chr16	84983859	84983861	['CD14']	chr16	84983798	84984098
chr9	19163058	19163060	['CD14']	chr9	19162919	19163219
chr19	1155187	1155189	['CD14']	chr19	1155035	1155335
chr1	113953247	113953249	['CD14']	chr1	113953122	113953422
chr10	26491907	26491909	['CD14']	chr10	26491680	26491980
chr16	66481244	66481246	['CD14']	chr16	66481112	66481412
chr2	218322650	218322652	['CD14']	chr2	218322559	218322859
chr20	18510886	18510888	['CD14']	chr20	18510690	18510990
chr5	133468813	133468815	['CD14']	chr5	133468708	133469008
chr5	76859649	76859651	['CD14']	chr5	76859504	76859804
chr11	86077980	86077982	['CD14']	chr11	86077838	86078138
chr6	11463002	11463004	['CD14']	chr6	11462859	11463159
chrX	9316358	9316360	['CD14']	chrX	9316083	9316383
chr19	48966695	48966697	['CD14']	chr19	48966558	48966858
chr2	24482479	24482481	['CD14']	chr2	24482342	24482642
chr16	84983871	84983873	['CD14']	chr16	84983798	84984098
chr7	101892557	101892559	['CD14']	chr7	101892391	101892691
chr3	120203506	120203508	['CD14']	chr3	120203363	120203663
chr1	54850868	54850870	['CD14']	chr1	54850658	54850958
chr5	133468876	133468878	['CD14']	chr5	133468708	133469008
chr6	40504438	40504440	['CD14']	chr6	40504330	40504630
chr9	19163053	19163055	['CD14']	chr9	19162919	19163219
chr7	101892507	101892509	['CD14']	chr7	101892391	101892691
chr13	41585270	41585272	['CD14']	chr13	41585090	41585390
chr8	8373963	8373965	['CD14']	chr8	8373865	8374165
chr4	127988842	127988844	['CD14']	chr4	127988662	127988962
chr5	14343241	14343243	['CD14']	chr5	14343009	14343309
chr1	54850913	54850915	['CD14']	chr1	54850658	54850958
chr3	46964361	46964363	['CD14']	chr3	46964277	46964577
chr2	42649050	42649052	['CD14']	chr2	42648859	42649159
chr2	218322664	218322666	['CD14']	chr2	218322559	218322859
chr11	68927957	68927959	['CD14']	chr11	68927914	68928214
chr20	18510874	18510876	['CD14']	chr20	18510690	18510990
chr6	157442368	157442370	['CD14']	chr6	157442266	157442566
chr5	76859736	76859738	['CD14']	chr5	76859504	76859804
chr7	151808042	151808044	['CD14']	chr7	151807880	151808180
chr8	29583958	29583960	['CD14']	chr8	29583750	29584050
chr12	104824135	104824137	['CD14']	chr12	104823867	104824167
chr7	931440	931442	['CD14']	chr7	931344	931644
chr8	42957851	42957853	['CD14']	chr8	42957740	42958040
chr7	101892533	101892535	['CD14']	chr7	101892391	101892691
chr19	1155256	1155258	['CD14']	chr19	1155035	1155335
chr18	11978379	11978381	['CD14']	chr18	11978170	11978470
chr3	46964356	46964358	['CD14']	chr3	46964277	46964577
chr3	107987534	107987536	['CD14']	chr3	107987248	107987548
chr6	106123103	106123105	['CD14']	chr6	106122908	106123208
chr4	41934715	41934717	['CD14']	chr4	41934685	41934985
chr3	107987438	107987440	['CD14']	chr3	107987248	107987548
chr19	1155304	1155306	['CD14']	chr19	1155035	1155335
chr7	931569	931571	['CD14']	chr7	931344	931644
chr19	1155225	1155227	['CD14']	chr19	1155035	1155335
chr20	18510916	18510918	['CD14']	chr20	18510690	18510990
chr7	931390	931392	['CD14']	chr7	931344	931644
chr3	120203546	120203548	['CD14']	chr3	120203363	120203663
chr20	18510900	18510902	['CD14']	chr20	18510690	18510990
chr17	28982120	28982122	['CD14']	chr17	28981945	28982245
chr3	46964344	46964346	['CD14']	chr3	46964277	46964577
chr17	1095003	1095005	['CD14']	chr17	1094950	1095250
chr3	12354731	12354733	['CD14']	chr3	12354721	12355021
chr8	29584008	29584010	['CD14']	chr8	29583750	29584050
chr1	19081383	19081385	['CD14']	chr1	19081253	19081553
chr6	157442360	157442362	['CD14']	chr6	157442266	157442566
chr19	1155168	1155170	['CD14']	chr19	1155035	1155335
chr19	1155056	1155058	['CD14']	chr19	1155035	1155335
chr17	1095196	1095198	['CD14']	chr17	1094950	1095250
chr18	58730634	58730636	['CD14']	chr18	58730466	58730766
chr19	1155139	1155141	['CD14']	chr19	1155035	1155335
chr3	154178343	154178345	['CD14']	chr3	154178233	154178533
chr3	46964471	46964473	['CD14']	chr3	46964277	46964577
chr7	151808079	151808081	['CD14']	chr7	151807880	151808180
chr6	127346426	127346428	['CD14']	chr6	127346396	127346696
chr6	106123148	106123150	['CD14']	chr6	106122908	106123208
chr19	1155301	1155303	['CD14']	chr19	1155035	1155335
chr4	120053068	120053070	['CD14']	chr4	120053039	120053339
chr18	11978249	11978251	['CD14']	chr18	11978170	11978470
chr3	107987461	107987463	['CD14']	chr3	107987248	107987548
chr7	151807893	151807895	['CD14']	chr7	151807880	151808180
chr7	931456	931458	['CD14']	chr7	931344	931644
chr1	19081331	19081333	['CD14']	chr1	19081253	19081553
chr1	54850856	54850858	['CD14']	chr1	54850658	54850958
chr13	49641871	49641873	['CD14']	chr13	49641831	49642131
chr18	79642925	79642927	['CD14']	chr18	79642774	79643074
chr16	84071308	84071310	['CD14']	chr16	84071209	84071509
chr19	1155322	1155324	['CD14']	chr19	1155035	1155335
chr7	151807968	151807970	['CD14']	chr7	151807880	151808180
chr19	1155244	1155246	['CD14']	chr19	1155035	1155335
chr7	931591	931593	['CD14']	chr7	931344	931644
chr11	68927949	68927951	['CD14']	chr11	68927914	68928214
chr8	47431450	47431452	['CD14']	chr8	47431348	47431648
chr18	11978311	11978313	['CD14']	chr18	11978170	11978470
chr1	226938105	226938107	['CD14']	chr1	226937975	226938275
chr1	19081375	19081377	['CD14']	chr1	19081253	19081553
chr13	114069076	114069078	['CD14']	chr13	114069058	114069358
chr13	114069063	114069065	['CD14']	chr13	114069058	114069358
chr6	11462897	11462899	['CD14']	chr6	11462859	11463159
chr7	931472	931474	['CD14']	chr7	931344	931644
chr1	154433595	154433597	['CD14']	chr1	154433509	154433809
chr10	113094093	113094095	['CD14']	chr10	113093946	113094246
chr18	11978375	11978377	['CD14']	chr18	11978170	11978470
chr16	66481331	66481333	['CD14']	chr16	66481112	66481412
chr8	47431529	47431531	['CD14']	chr8	47431348	47431648
chr17	1095045	1095047	['CD14']	chr17	1094950	1095250
chr11	68928080	68928082	['CD14']	chr11	68927914	68928214
chr3	101934770	101934772	['CD14']	chr3	101934688	101934988
chr7	931499	931501	['CD14']	chr7	931344	931644
chr3	101934867	101934869	['CD14']	chr3	101934688	101934988
chr6	11462870	11462872	['CD14']	chr6	11462859	11463159
chr2	42649111	42649113	['CD14']	chr2	42648859	42649159
chr3	120203517	120203519	['CD14']	chr3	120203363	120203663
chr11	68928021	68928023	['CD14']	chr11	68927914	68928214
chr7	931405	931407	['CD14']	chr7	931344	931644
chr18	11978241	11978243	['CD14']	chr18	11978170	11978470
chr9	19163072	19163074	['CD14']	chr9	19162919	19163219
chr12	104824157	104824159	['CD14']	chr12	104823867	104824167
chr1	154433762	154433764	['CD14']	chr1	154433509	154433809
chr18	11978367	11978369	['CD14']	chr18	11978170	11978470
chr14	89458016	89458018	['CD14']	chr14	89457811	89458111
chr4	143670582	143670584	['CD14']	chr4	143670448	143670748
chr4	41934845	41934847	['CD14']	chr4	41934685	41934985
chr3	46964437	46964439	['CD14']	chr3	46964277	46964577
chr4	139734316	139734318	['CD14']	chr4	139734174	139734474
chr1	159431178	159431180	['CD14']	chr1	159430964	159431264
chr7	151808083	151808085	['CD14']	chr7	151807880	151808180
chr17	1095193	1095195	['CD14']	chr17	1094950	1095250
chr19	1155044	1155046	['CD14']	chr19	1155035	1155335
chr19	1155197	1155199	['CD14']	chr19	1155035	1155335
chr2	73032962	73032964	['CD14']	chr2	73032928	73033228
chr7	151808070	151808072	['CD14']	chr7	151807880	151808180
chr1	226938246	226938248	['CD14']	chr1	226937975	226938275
chr3	120203473	120203475	['CD14']	chr3	120203363	120203663
chr4	41934764	41934766	['CD14']	chr4	41934685	41934985
chr14	89457991	89457993	['CD14']	chr14	89457811	89458111
chr19	1155052	1155054	['CD14']	chr19	1155035	1155335
chr6	40504361	40504363	['CD14']	chr6	40504330	40504630
chr6	157442338	157442340	['CD14']	chr6	157442266	157442566
chr3	120203465	120203467	['CD14']	chr3	120203363	120203663
chr16	66481317	66481319	['CD14']	chr16	66481112	66481412
chr14	89458007	89458009	['CD14']	chr14	89457811	89458111
chr16	84983893	84983895	['CD14']	chr16	84983798	84984098
chr18	79642852	79642854	['CD14']	chr18	79642774	79643074
chr19	1155089	1155091	['CD14']	chr19	1155035	1155335
chr5	76859695	76859697	['CD14']	chr5	76859504	76859804
chr2	218322724	218322726	['CD14']	chr2	218322559	218322859
chr7	931428	931430	['CD14']	chr7	931344	931644
chr8	47431640	47431642	['CD14']	chr8	47431348	47431648
chr3	46964540	46964542	['CD14']	chr3	46964277	46964577
chr16	84983915	84983917	['CD14']	chr16	84983798	84984098
chrX	9316156	9316158	['CD14']	chrX	9316083	9316383
chr7	47520698	47520700	['CD14']	chr7	47520467	47520767
chr8	47431610	47431612	['CD14']	chr8	47431348	47431648
chr14	89457985	89457987	['CD14']	chr14	89457811	89458111
chr7	151807915	151807917	['CD14']	chr7	151807880	151808180
chr18	11978287	11978289	['CD14']	chr18	11978170	11978470
chr16	84071334	84071336	['CD14']	chr16	84071209	84071509
chr17	64008292	64008294	['CD14']	chr17	64008022	64008322
chr1	19081417	19081419	['CD14']	chr1	19081253	19081553
chr19	1155291	1155293	['CD14']	chr19	1155035	1155335
chr7	151808039	151808041	['CD14']	chr7	151807880	151808180
chr7	931361	931363	['CD14']	chr7	931344	931644
chr18	79642775	79642777	['CD14']	chr18	79642774	79643074
chr11	86077924	86077926	['CD14']	chr11	86077838	86078138
chr19	41380345	41380347	['CD14']	chr19	41380210	41380510
chr18	11978407	11978409	['CD14']	chr18	11978170	11978470
chr1	19081481	19081483	['CD14']	chr1	19081253	19081553
chr2	218322575	218322577	['CD14']	chr2	218322559	218322859
chr3	46964348	46964350	['CD14']	chr3	46964277	46964577
chr10	88852024	88852026	['CD14']	chr10	88852004	88852304
chr16	66481177	66481179	['CD14']	chr16	66481112	66481412
chr19	1155276	1155278	['CD14']	chr19	1155035	1155335
chr2	218322721	218322723	['CD14']	chr2	218322559	218322859
chr2	218322739	218322741	['CD14']	chr2	218322559	218322859
chr11	17822318	17822320	['CD14']	chr11	17822158	17822458
chr13	114069280	114069282	['CD14']	chr13	114069058	114069358
chr5	76859705	76859707	['CD14']	chr5	76859504	76859804
chr4	41934767	41934769	['CD14']	chr4	41934685	41934985
chr2	42649115	42649117	['CD14']	chr2	42648859	42649159
chr2	42649003	42649005	['CD14']	chr2	42648859	42649159
chr20	18510689	18510691	['CD14']	chr20	18510690	18510990
chr13	114069295	114069297	['CD14']	chr13	114069058	114069358
chr19	41380495	41380497	['CD14']	chr19	41380210	41380510
chr19	1155162	1155164	['CD14']	chr19	1155035	1155335
chr7	47520606	47520608	['CD14']	chr7	47520467	47520767
chr19	18274812	18274814	['CD14']	chr19	18274542	18274842
chr16	66481203	66481205	['CD14']	chr16	66481112	66481412
chr2	218322662	218322664	['CD14']	chr2	218322559	218322859
chr17	1095063	1095065	['CD14']	chr17	1094950	1095250
chr19	1155113	1155115	['CD14']	chr19	1155035	1155335
chr16	66481182	66481184	['CD14']	chr16	66481112	66481412
chr12	4031920	4031922	['CD14']	chr12	4031832	4032132
chr10	88852097	88852099	['CD14']	chr10	88852004	88852304
chr17	1095217	1095219	['CD14']	chr17	1094950	1095250
chr10	113093984	113093986	['CD14']	chr10	113093946	113094246
chr20	18510976	18510978	['CD14']	chr20	18510690	18510990
chr13	114069340	114069342	['CD14']	chr13	114069058	114069358
chr7	101892414	101892416	['CD14']	chr7	101892391	101892691
chr18	11978438	11978440	['CD14']	chr18	11978170	11978470
chr7	101892662	101892664	['CD14']	chr7	101892391	101892691
chr12	4031916	4031918	['CD14']	chr12	4031832	4032132
chr2	218322571	218322573	['CD14']	chr2	218322559	218322859
chr16	66481301	66481303	['CD14']	chr16	66481112	66481412
chr13	114069204	114069206	['CD14']	chr13	114069058	114069358
chr1	159431221	159431223	['CD14']	chr1	159430964	159431264
chr1	226938212	226938214	['CD14']	chr1	226937975	226938275
chr4	139734406	139734408	['CD14']	chr4	139734174	139734474
chr16	68084040	68084042	['CD14']	chr16	68083938	68084238
chrX	9316115	9316117	['CD14']	chrX	9316083	9316383
chr7	47520513	47520515	['CD14']	chr7	47520467	47520767
chr7	47520471	47520473	['CD14']	chr7	47520467	47520767
chr12	9713007	9713009	['CD19']	chr12	9712858	9713158
chr18	36060601	36060603	['CD19']	chr18	36060452	36060752
chr15	78757703	78757705	['CD19']	chr15	78757554	78757861
chr9	123234072	123234074	['CD19']	chr9	123233923	123234223
chr3	141524734	141524736	['CD19']	chr3	141524585	141524885
chr3	58349393	58349395	['CD19']	chr3	58349244	58349544
chr3	18213984	18213986	['CD19']	chr3	18213828	18214206
chr6	88632022	88632024	['CD19']	chr6	88631873	88632173
chr16	11966066	11966068	['CD19']	chr16	11965915	11966217
chr2	136239954	136239956	['CD19']	chr2	136239805	136240105
chr9	76463679	76463681	['CD19']	chr9	76463530	76463830
chr16	11966064	11966066	['CD19']	chr16	11965915	11966217
chr8	99323046	99323048	['CD19']	chr8	99322897	99323197
chr10	62000310	62000312	['CD19']	chr10	62000161	62000461
chr22	45376058	45376060	['CD19']	chr22	45375909	45376209
chr11	2393735	2393737	['CD19']	chr11	2393586	2393886
chr5	32574199	32574201	['CD19']	chr5	32574050	32574350
chr9	37290528	37290530	['CD19']	chr9	37290379	37290679
chr9	112774912	112774914	['CD19']	chr9	112774763	112775063
chr15	78757710	78757712	['CD19']	chr15	78757554	78757861
chr3	121793555	121793557	['CD19']	chr3	121793406	121793706
chr18	3320671	3320673	['CD19']	chr18	3320522	3320822
chr3	187024338	187024340	['CD19']	chr3	187024189	187024489
chr2	197145246	197145248	['CD19']	chr2	197145097	197145397
chr1	87057781	87057783	['CD19']	chr1	87057632	87057932
chr15	90595516	90595518	['CD19']	chr15	90595367	90595667
chr17	75664593	75664595	['CD19']	chr17	75664444	75664744
chr3	16433994	16433996	['CD19']	chr3	16433845	16434145
chr16	88771969	88771971	['CD19']	chr16	88771820	88772120
chr19	48909751	48909753	['CD19']	chr19	48909602	48909902
chr3	18214055	18214057	['CD19']	chr3	18213828	18214206
chr7	18567221	18567223	['CD19']	chr7	18567072	18567372
chr3	18213977	18213979	['CD19']	chr3	18213828	18214206
chr4	10974730	10974732	['CD19']	chr4	10974581	10974881
chr6	106649200	106649202	['CD19']	chr6	106649051	106649351
chr7	77906901	77906903	['CD19']	chr7	77906752	77907052
chr6	157560916	157560918	['CD19']	chr6	157560767	157561067
chr1	36232934	36232936	['CD19']	chr1	36232785	36233085
chr3	66553914	66553916	['CD19']	chr3	66553765	66554065
chr19	17753035	17753037	['CD19']	chr19	17752886	17753186
chr19	50417587	50417589	['CD19']	chr19	50417438	50417738
chr6	84170321	84170323	['CD19']	chr6	84170172	84170472
chr1	15572098	15572100	['CD19']	chr1	15571949	15572249
chr10	12243714	12243716	['CD19']	chr10	12243565	12243865
chr3	58349457	58349459	['CD19']	chr3	58349244	58349544
chr3	66554000	66554002	['CD19']	chr3	66553765	66554065
chr2	197145162	197145164	['CD19']	chr2	197145097	197145397
chr2	54628796	54628798	['CD19']	chr2	54628647	54628947
chr4	10974782	10974784	['CD19']	chr4	10974581	10974881
chr3	16434035	16434037	['CD19']	chr3	16433845	16434145
chr1	87057646	87057648	['CD19']	chr1	87057632	87057932
chr3	16433897	16433899	['CD19']	chr3	16433845	16434145
chr16	88771919	88771921	['CD19']	chr16	88771820	88772120
chr6	157560933	157560935	['CD19']	chr6	157560767	157561067
chr7	77906861	77906863	['CD19']	chr7	77906752	77907052
chr18	36060576	36060578	['CD19']	chr18	36060452	36060752
chr15	78757713	78757715	['CD19']	chr15	78757554	78757861
chr19	17753067	17753069	['CD19']	chr19	17752886	17753186
chr7	1980463	1980465	['CD19']	chr7	1980314	1980614
chr5	82814232	82814234	['CD19']	chr5	82813968	82814268
chr4	184396368	184396370	['CD19']	chr4	184396134	184396434
chr3	187024343	187024345	['CD19']	chr3	187024189	187024489
chr8	99323042	99323044	['CD19']	chr8	99322897	99323197
chr15	90595514	90595516	['CD19']	chr15	90595367	90595667
chr6	157560921	157560923	['CD19']	chr6	157560767	157561067
chr6	166850030	166850032	['CD19']	chr6	166849763	166850063
chr1	87057774	87057776	['CD19']	chr1	87057632	87057932
chr3	18214023	18214025	['CD19']	chr3	18213828	18214206
chr22	45376038	45376040	['CD19']	chr22	45375909	45376209
chr16	88772009	88772011	['CD19']	chr16	88771820	88772120
chr1	87057710	87057712	['CD19']	chr1	87057632	87057932
chr22	42860509	42860511	['CD19']	chr22	42860447	42860747
chr3	66387146	66387148	['CD19']	chr3	66386882	66387182
chr6	44258659	44258661	['CD19']	chr6	44258508	44258808
chr7	1980395	1980397	['CD19']	chr7	1980314	1980614
chr13	30443168	30443170	['CD19']	chr13	30443019	30443319
chr7	77906823	77906825	['CD19']	chr7	77906752	77907052
chr3	121793619	121793621	['CD19']	chr3	121793406	121793706
chr10	12243707	12243709	['CD19']	chr10	12243565	12243865
chr6	110811441	110811443	['CD19']	chr6	110811260	110811560
chr19	50417602	50417604	['CD19']	chr19	50417438	50417738
chr19	50417726	50417728	['CD19']	chr19	50417438	50417738
chr22	42860596	42860598	['CD19']	chr22	42860447	42860747
chr8	109574925	109574927	['CD19']	chr8	109574776	109575076
chr6	166850024	166850026	['CD19']	chr6	166849763	166850063
chr3	16433907	16433909	['CD19']	chr3	16433845	16434145
chr18	36060561	36060563	['CD19']	chr18	36060452	36060752
chr16	88771967	88771969	['CD19']	chr16	88771820	88772120
chr3	13021664	13021666	['CD19']	chr3	13021515	13021815
chr9	112774904	112774906	['CD19']	chr9	112774763	112775063
chr1	15572075	15572077	['CD19']	chr1	15571949	15572249
chr17	28742646	28742648	['CD19']	chr17	28742503	28742803
chr7	77906775	77906777	['CD19']	chr7	77906752	77907052
chr3	13021635	13021637	['CD19']	chr3	13021515	13021815
chr19	1649123	1649125	['CD19']	chr19	1648974	1649274
chr18	3320673	3320675	['CD19']	chr18	3320522	3320822
chr1	87057666	87057668	['CD19']	chr1	87057632	87057932
chr9	123233970	123233972	['CD19']	chr9	123233923	123234223
chr6	84170403	84170405	['CD19']	chr6	84170172	84170472
chr14	103692391	103692393	['CD19']	chr14	103692242	103692542
chr3	18213962	18213964	['CD19']	chr3	18213828	18214206
chr14	52546200	52546202	['CD19']	chr14	52546042	52546342
chr3	13021643	13021645	['CD19']	chr3	13021515	13021815
chr10	62000282	62000284	['CD19']	chr10	62000161	62000461
chr11	129947821	129947823	['CD19']	chr11	129947672	129947972
chr12	9713039	9713041	['CD19']	chr12	9712858	9713158
chr1	87057766	87057768	['CD19']	chr1	87057632	87057932
chr6	88632104	88632106	['CD19']	chr6	88631873	88632173
chr3	66553981	66553983	['CD19']	chr3	66553765	66554065
chr14	103692342	103692344	['CD19']	chr14	103692242	103692542
chr8	109574955	109574957	['CD19']	chr8	109574776	109575076
chr2	197145160	197145162	['CD19']	chr2	197145097	197145397
chr7	77906838	77906840	['CD19']	chr7	77906752	77907052
chr9	112774907	112774909	['CD19']	chr9	112774763	112775063
chr3	18214017	18214019	['CD19']	chr3	18213828	18214206
chr1	36232936	36232938	['CD19']	chr1	36232785	36233085
chr4	184396283	184396285	['CD19']	chr4	184396134	184396434
chr1	24748641	24748643	['CD19']	chr1	24748492	24748792
chr14	103692365	103692367	['CD19']	chr14	103692242	103692542
chr3	16433926	16433928	['CD19']	chr3	16433845	16434145
chr7	77906767	77906769	['CD19']	chr7	77906752	77907052
chr18	13620827	13620829	['CD19']	chr18	13620678	13620978
chr6	44258657	44258659	['CD19']	chr6	44258508	44258808
chr2	136239992	136239994	['CD19']	chr2	136239805	136240105
chr2	197145150	197145152	['CD19']	chr2	197145097	197145397
chr5	290801	290803	['CD19']	chr5	290652	290952
chr6	106649198	106649200	['CD19']	chr6	106649051	106649351
chr4	184396159	184396161	['CD19']	chr4	184396134	184396434
