chrom	start	end	Average delta rank	Minimum delta rank	Naive CD4 T-Naive CD8 T	Naive CD4 T-Mono	Naive CD4 T-NK	Naive CD4 T-B_cell	Minimum delta	Maximum delta	Average delta	(Minimum delta+Average delta)/2	(Minimum delta rank+Average delta rank)/2
chr1	941290	941292	11	23	0.39666666666666667	0.43533333333333335	0.275	0.15633333333333335	0.15633333333333335	0.43533333333333335	0.3158333333333334	0.23608333333333337	17.0
chr1	930258	930260	31	5	0.20833333333333331	0.30566666666666675	0.2971666666666667	0.2406666666666667	0.20833333333333331	0.30566666666666675	0.2629583333333334	0.23564583333333336	18.0
chr1	936007	936009	2	34	0.3905	0.2736666666666667	0.6495	0.14166666666666666	0.14166666666666666	0.6495	0.3638333333333333	0.25275	18.0
chr1	924929	924931	34	4	0.2335	0.25	0.2515	0.2733333333333333	0.2335	0.2733333333333333	0.2520833333333333	0.24279166666666668	19.0
chr1	932557	932559	36	6	0.2830000000000001	0.2140000000000002	0.29633333333333345	0.2076666666666668	0.2076666666666668	0.29633333333333345	0.2502500000000001	0.22895833333333343	21.0
chr1	924256	924258	25	17	0.421	0.19899999999999998	0.16666666666666666	0.292	0.16666666666666666	0.421	0.2696666666666667	0.21816666666666668	21.0
chr1	938957	938959	30	12	0.20616666666666672	0.35883333333333345	0.3081666666666668	0.1831666666666668	0.1831666666666668	0.35883333333333345	0.26408333333333345	0.22362500000000013	21.0
chr1	941567	941569	23	20	0.18733333333333327	0.15966666666666668	0.3606666666666667	0.38133333333333336	0.15966666666666668	0.38133333333333336	0.27225	0.21595833333333334	21.5
chr1	933789	933791	0	46	0.4125	0.5666666666666667	0.6440000000000001	0.12333333333333335	0.12333333333333335	0.6440000000000001	0.436625	0.27997916666666667	23.0
chr1	939220	939222	17	30	0.14833333333333334	0.3643333333333333	0.4556666666666667	0.23966666666666664	0.14833333333333334	0.4556666666666667	0.302	0.22516666666666668	23.5
chr1	925884	925886	21	27	0.3670000000000001	0.1515	0.166	0.4156666666666666	0.1515	0.4156666666666666	0.2750416666666667	0.21327083333333335	24.0
chr1	924980	924982	40	18	0.3336666666666666	0.19966666666666666	0.16649999999999998	0.26666666666666666	0.16649999999999998	0.3336666666666666	0.241625	0.20406249999999998	29.0
chr1	936841	936843	12	47	0.1226666666666666	0.32233333333333325	0.4049999999999999	0.4009999999999999	0.1226666666666666	0.4049999999999999	0.3127499999999999	0.21770833333333325	29.5
chr1	925376	925378	15	45	0.25	0.3993333333333333	0.4443333333333333	0.125	0.125	0.4443333333333333	0.30466666666666664	0.21483333333333332	30.0
chr1	941170	941172	13	53	0.4930000000000001	0.29266666666666663	0.32766666666666666	0.11633333333333334	0.11633333333333334	0.4930000000000001	0.3074166666666667	0.21187500000000004	33.0
chr1	941033	941035	35	32	0.14533333333333331	0.3316666666666667	0.3046666666666667	0.225	0.14533333333333331	0.3316666666666667	0.2516666666666667	0.1985	33.5
chr1	925450	925452	4	69	0.44166666666666665	0.10333333333333332	0.389	0.46399999999999997	0.10333333333333332	0.46399999999999997	0.3495	0.22641666666666665	36.5
chr1	941386	941388	38	36	0.2743333333333333	0.138	0.2923333333333333	0.2726666666666667	0.138	0.2923333333333333	0.2443333333333333	0.19116666666666665	37.0
chr1	941361	941363	50	24	0.15566666666666668	0.24066666666666664	0.3053333333333334	0.21066666666666672	0.15566666666666668	0.3053333333333334	0.22808333333333336	0.19187500000000002	37.0
chr1	924846	924848	43	35	0.3546666666666667	0.17766666666666664	0.28600000000000003	0.138	0.138	0.3546666666666667	0.2390833333333333	0.18854166666666666	39.0
chr1	924955	924957	53	26	0.15233333333333335	0.207	0.2858333333333333	0.25299999999999995	0.15233333333333335	0.2858333333333333	0.22454166666666664	0.18843749999999998	39.5
chr1	939353	939355	55	25	0.19566666666666666	0.271	0.271	0.15533333333333332	0.15533333333333332	0.271	0.22325	0.18929166666666666	40.0
chr1	924793	924795	62	19	0.2773333333333334	0.188	0.2323333333333333	0.16466666666666666	0.16466666666666666	0.2773333333333334	0.21558333333333327	0.19012499999999996	40.5
chr1	941009	941011	24	58	0.224	0.112	0.4176666666666667	0.32666666666666666	0.112	0.4176666666666667	0.2700833333333333	0.19104166666666664	41.0
chr1	924912	924914	57	28	0.151	0.2953333333333333	0.2908333333333333	0.1506666666666667	0.1506666666666667	0.2953333333333333	0.2219583333333333	0.1863125	42.5
chr1	925442	925444	32	56	0.3	0.11433333333333336	0.3333333333333333	0.289	0.11433333333333336	0.3333333333333333	0.25916666666666666	0.18675	44.0
chr1	923833	923835	48	41	0.325	0.21366666666666667	0.248	0.129	0.129	0.325	0.22891666666666666	0.17895833333333333	44.5
chr1	924276	924278	58	31	0.14650000000000002	0.24850000000000005	0.221	0.2703333333333333	0.14650000000000002	0.2703333333333333	0.22158333333333333	0.18404166666666666	44.5
chr1	936599	936601	67	22	0.22333333333333327	0.22333333333333327	0.22333333333333327	0.1566666666666665	0.1566666666666665	0.22333333333333327	0.20666666666666655	0.18166666666666653	44.5
chr1	923331	923333	37	54	0.26366666666666666	0.2886666666666667	0.11533333333333334	0.3163333333333333	0.11533333333333334	0.3163333333333333	0.24600000000000002	0.1806666666666667	45.5
chr1	923669	923671	54	39	0.20199999999999999	0.2923333333333333	0.13333333333333333	0.27	0.13333333333333333	0.2923333333333333	0.22441666666666665	0.178875	46.5
chr1	926340	926342	63	38	0.3203333333333333	0.13533333333333333	0.212	0.19233333333333333	0.13533333333333333	0.3203333333333333	0.215	0.17516666666666666	50.5
chr1	939381	939383	64	40	0.12966666666666682	0.20983333333333345	0.27766666666666673	0.2390000000000001	0.12966666666666682	0.27766666666666673	0.2140416666666668	0.1718541666666668	52.0
chr1	940405	940407	41	63	0.16649999999999998	0.26049999999999995	0.11	0.428	0.11	0.428	0.24125	0.175625	52.0
chr1	941270	941272	60	44	0.37733333333333335	0.198	0.17033333333333334	0.12533333333333332	0.12533333333333332	0.37733333333333335	0.21775	0.17154166666666665	52.0
chr1	940392	940394	45	61	0.111	0.20733333333333331	0.22166666666666668	0.3993333333333333	0.111	0.3993333333333333	0.2348333333333333	0.17291666666666666	53.0
chr1	926508	926510	87	21	0.19966666666666646	0.21433333333333326	0.19133333333333324	0.15866666666666662	0.15866666666666662	0.21433333333333326	0.19099999999999992	0.17483333333333329	54.0
chr1	925421	925423	27	81	0.09466666666666666	0.366	0.4166666666666667	0.19333333333333333	0.09466666666666666	0.4166666666666667	0.26766666666666666	0.18116666666666667	54.0
chr1	927782	927784	99	14	0.17466666666666664	0.17499999999999993	0.19099999999999995	0.18466666666666653	0.17466666666666664	0.19099999999999995	0.18133333333333326	0.17799999999999994	56.5
chr1	924860	924862	78	37	0.29100000000000004	0.138	0.1715	0.19333333333333336	0.138	0.29100000000000004	0.19845833333333332	0.16822916666666665	57.5
chr1	931846	931848	76	42	0.21866666666666668	0.3140000000000001	0.136	0.12766666666666668	0.12766666666666668	0.3140000000000001	0.1990833333333334	0.16337500000000005	59.0
chr1	936395	936397	79	43	0.127	0.2808333333333333	0.1835	0.20216666666666672	0.127	0.2808333333333333	0.198375	0.16268749999999998	61.0
chr1	933689	933691	7	115	0.30066666666666664	0.4773333333333334	0.4956666666666667	0.07000000000000006	0.07000000000000006	0.4956666666666667	0.3359166666666667	0.20295833333333338	61.0
chr1	926139	926141	56	68	0.3216666666666667	0.22083333333333333	0.10366666666666667	0.24666666666666665	0.10366666666666667	0.3216666666666667	0.22320833333333331	0.16343749999999999	62.0
chr1	923838	923840	71	55	0.26766666666666666	0.207	0.22233333333333336	0.115	0.115	0.26766666666666666	0.203	0.159	63.0
chr1	924724	924726	33	96	0.2446666666666667	0.3951666666666667	0.08333333333333333	0.2896666666666667	0.08333333333333333	0.3951666666666667	0.25320833333333337	0.16827083333333334	64.5
chr1	924973	924975	68	64	0.11	0.22366666666666665	0.16649999999999998	0.3233333333333333	0.11	0.3233333333333333	0.205875	0.1579375	66.0
chr1	940396	940398	42	91	0.278	0.08433333333333333	0.2	0.3993333333333333	0.08433333333333333	0.3993333333333333	0.2404166666666667	0.16237500000000002	66.5
chr1	931155	931157	66	70	0.2665	0.09999999999999998	0.2665	0.2098333333333333	0.09999999999999998	0.2665	0.21070833333333333	0.15535416666666665	68.0
chr1	940543	940545	52	85	0.24400000000000005	0.251	0.09266666666666666	0.317	0.09266666666666666	0.317	0.2261666666666667	0.15941666666666668	68.5
chr1	930352	930354	104	33	0.15499999999999992	0.20566666666666664	0.20566666666666664	0.14466666666666672	0.14466666666666672	0.20566666666666664	0.17775	0.16120833333333334	68.5
chr1	937174	937176	14	124	0.06666666666666665	0.4913333333333333	0.4020000000000001	0.267	0.06666666666666665	0.4913333333333333	0.30675	0.18670833333333334	69.0
chr1	937130	937132	110	29	0.17000000000000004	0.15033333333333332	0.16166666666666674	0.19433333333333336	0.15033333333333332	0.19433333333333336	0.16908333333333336	0.15970833333333334	69.5
chr1	941587	941589	77	62	0.19433333333333333	0.13333333333333333	0.111	0.3573333333333333	0.111	0.3573333333333333	0.199	0.155	69.5
chr1	941238	941240	93	49	0.32733333333333337	0.14966666666666664	0.15033333333333335	0.11966666666666664	0.11966666666666664	0.32733333333333337	0.18675	0.15320833333333334	71.0
chr1	926250	926252	80	66	0.12733333333333333	0.3483333333333333	0.1066666666666666	0.21	0.1066666666666666	0.3483333333333333	0.19808333333333328	0.15237499999999993	73.0
chr1	925152	925154	47	100	0.211	0.3516666666666667	0.08166666666666668	0.2743333333333333	0.08166666666666668	0.3516666666666667	0.22966666666666666	0.15566666666666668	73.5
chr1	941235	941237	69	80	0.3496666666666666	0.19466666666666665	0.17600000000000002	0.09466666666666666	0.09466666666666666	0.3496666666666666	0.20375	0.14920833333333333	74.5
chr1	923655	923657	98	52	0.17533333333333334	0.11733333333333333	0.16033333333333333	0.273	0.11733333333333333	0.273	0.1815	0.14941666666666667	75.0
chr1	925860	925862	51	101	0.2403333333333333	0.08133333333333333	0.2496666666666667	0.3403333333333333	0.08133333333333333	0.3403333333333333	0.22791666666666666	0.15462499999999998	76.0
chr1	935410	935412	95	60	0.12133333333333335	0.32149999999999995	0.11166666666666664	0.181	0.11166666666666664	0.32149999999999995	0.183875	0.14777083333333332	77.5
chr1	924159	924161	83	76	0.151	0.09699999999999999	0.2433333333333333	0.2973333333333333	0.09699999999999999	0.2973333333333333	0.19716666666666666	0.14708333333333332	79.5
chr1	923493	923495	72	92	0.21083333333333326	0.0835	0.18083333333333326	0.3361666666666667	0.0835	0.3361666666666667	0.20283333333333334	0.14316666666666666	82.0
chr1	941073	941075	26	141	0.4233333333333333	0.05566666666666666	0.3143333333333333	0.2846666666666667	0.05566666666666666	0.4233333333333333	0.2695	0.16258333333333333	83.5
chr1	924901	924903	73	95	0.2863333333333333	0.08333333333333333	0.2145	0.218	0.08333333333333333	0.2863333333333333	0.20054166666666665	0.1419375	84.0
chr1	935621	935623	70	99	0.08166666666666672	0.25333333333333324	0.11599999999999999	0.3623333333333334	0.08166666666666672	0.3623333333333334	0.20333333333333334	0.14250000000000002	84.5
chr1	924371	924373	96	73	0.099	0.2006666666666667	0.2675	0.166	0.099	0.2675	0.18329166666666669	0.14114583333333336	84.5
chr1	924273	924275	61	109	0.192	0.30600000000000005	0.07400000000000001	0.292	0.07400000000000001	0.30600000000000005	0.21600000000000005	0.14500000000000002	85.0
chr1	941081	941083	89	83	0.377	0.09433333333333334	0.14766666666666664	0.14233333333333334	0.09433333333333334	0.377	0.19033333333333333	0.14233333333333334	86.0
chr1	941285	941287	107	67	0.2433333333333333	0.10599999999999997	0.1393333333333333	0.19766666666666668	0.10599999999999997	0.2433333333333333	0.1715833333333333	0.13879166666666665	87.0
chr1	928709	928711	100	74	0.33333333333333337	0.09833333333333336	0.12033333333333328	0.17133333333333345	0.09833333333333336	0.33333333333333337	0.18083333333333335	0.13958333333333334	87.0
chr1	924876	924878	103	71	0.191	0.09966666666666668	0.17683333333333334	0.25	0.09966666666666668	0.25	0.179375	0.13952083333333334	87.0
chr1	924105	924107	116	65	0.11	0.142	0.16666666666666666	0.2343333333333333	0.11	0.2343333333333333	0.16325	0.136625	90.5
chr1	925386	925388	59	122	0.06666666666666668	0.2333333333333333	0.3333333333333333	0.249	0.06666666666666668	0.3333333333333333	0.22058333333333333	0.143625	90.5
chr1	940974	940976	75	106	0.15433333333333335	0.07566666666666666	0.2703333333333333	0.3003333333333333	0.07566666666666666	0.3003333333333333	0.20016666666666666	0.13791666666666666	90.5
chr1	924243	924245	106	75	0.1325	0.09733333333333333	0.185	0.27233333333333337	0.09733333333333333	0.27233333333333337	0.17179166666666668	0.1345625	90.5
chr1	924865	924867	125	57	0.18833333333333327	0.11366666666666665	0.16649999999999998	0.14066666666666666	0.11366666666666665	0.18833333333333327	0.15229166666666666	0.13297916666666665	91.0
chr1	924313	924315	133	51	0.13983333333333334	0.21783333333333327	0.12333333333333335	0.118	0.118	0.21783333333333327	0.14975000000000002	0.13387500000000002	92.0
chr1	925046	925048	39	145	0.383	0.3915	0.1415	0.0555	0.0555	0.3915	0.242875	0.1491875	92.0
chr1	932532	932534	139	48	0.11999999999999987	0.17899999999999994	0.1376666666666666	0.1373333333333333	0.11999999999999987	0.17899999999999994	0.14349999999999993	0.1317499999999999	93.5
chr1	940402	940404	44	143	0.0555	0.33	0.12166666666666665	0.444	0.0555	0.444	0.2377916666666667	0.14664583333333336	93.5
chr1	926367	926369	49	139	0.2873333333333332	0.057	0.1833333333333333	0.387	0.057	0.387	0.22866666666666666	0.14283333333333334	94.0
chr1	924293	924295	86	103	0.25733333333333325	0.17383333333333334	0.2608333333333333	0.07733333333333334	0.07733333333333334	0.2608333333333333	0.19233333333333333	0.13483333333333333	94.5
chr1	928385	928387	140	50	0.14733333333333332	0.1376666666666666	0.16666666666666666	0.119	0.119	0.16666666666666666	0.14266666666666666	0.13083333333333333	95.0
chr1	923409	923411	113	79	0.25	0.21433333333333326	0.09466666666666666	0.111	0.09466666666666666	0.25	0.16749999999999998	0.13108333333333333	96.0
chr1	940064	940066	111	82	0.2398333333333333	0.12416666666666668	0.09449999999999996	0.2165	0.09449999999999996	0.2398333333333333	0.16874999999999998	0.13162499999999996	96.5
chr1	924555	924557	101	93	0.22233333333333336	0.2	0.08349999999999999	0.2135	0.08349999999999999	0.22233333333333336	0.17983333333333335	0.13166666666666665	97.0
chr1	935804	935806	65	130	0.325	0.17933333333333334	0.06199999999999994	0.2873333333333334	0.06199999999999994	0.325	0.21341666666666664	0.1377083333333333	97.5
chr1	941027	941029	29	167	0.18916666666666665	0.041500000000000016	0.4355	0.3911666666666667	0.041500000000000016	0.4355	0.26433333333333336	0.1529166666666667	98.0
chr1	924088	924090	112	86	0.0905	0.1845	0.16666666666666666	0.22899999999999998	0.0905	0.22899999999999998	0.16766666666666666	0.12908333333333333	99.0
chr1	929354	929356	97	104	0.07633333333333336	0.2156666666666668	0.20800000000000007	0.2263333333333334	0.07633333333333336	0.2263333333333334	0.1815833333333334	0.1289583333333334	100.5
chr1	924427	924429	94	108	0.2916666666666667	0.16666666666666666	0.2085	0.07400000000000001	0.07400000000000001	0.2916666666666667	0.18520833333333336	0.1296041666666667	101.0
chr1	64763	64765	91	112	0.07066666666666667	0.3493333333333334	0.242	0.09366666666666656	0.07066666666666667	0.3493333333333334	0.18891666666666665	0.12979166666666667	101.5
chr1	924967	924969	108	97	0.26383333333333336	0.10149999999999998	0.08299999999999999	0.2325	0.08299999999999999	0.26383333333333336	0.17020833333333335	0.12660416666666668	102.5
chr1	940440	940442	28	179	0.037000000000000005	0.43933333333333335	0.2743333333333333	0.3183333333333333	0.037000000000000005	0.43933333333333335	0.26725	0.152125	103.5
chr1	930479	930481	90	120	0.06766666666666665	0.1898333333333334	0.2643333333333334	0.2356666666666667	0.06766666666666665	0.2643333333333334	0.18937500000000004	0.12852083333333336	105.0
chr1	940378	940380	84	126	0.2075	0.124	0.064	0.38833333333333336	0.064	0.38833333333333336	0.19595833333333332	0.12997916666666665	105.0
chr1	930711	930713	46	168	0.041000000000000036	0.18666666666666665	0.375	0.31966666666666665	0.041000000000000036	0.375	0.2305833333333333	0.13579166666666667	107.0
chr1	924346	924348	144	72	0.09933333333333333	0.19783333333333333	0.14333333333333334	0.12799999999999995	0.09933333333333333	0.19783333333333333	0.142125	0.12072916666666667	108.0
chr1	924178	924180	81	136	0.0755	0.059	0.41	0.2456666666666667	0.059	0.41	0.19754166666666667	0.12827083333333333	108.5
chr1	924182	924184	158	59	0.114	0.16633333333333333	0.11900000000000001	0.11166666666666668	0.11166666666666668	0.16633333333333333	0.12775	0.11970833333333333	108.5
chr1	924305	924307	85	133	0.060166666666666674	0.2921666666666667	0.2911666666666667	0.127	0.060166666666666674	0.2921666666666667	0.192625	0.12639583333333332	109.0
chr1	929205	929207	135	84	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.09266666666666667	0.09266666666666667	0.16666666666666666	0.14816666666666667	0.12041666666666667	109.5
chr1	924558	924560	129	94	0.111	0.1	0.08349999999999999	0.3096666666666667	0.08349999999999999	0.3096666666666667	0.15104166666666669	0.11727083333333334	111.5
chr1	940418	940420	92	132	0.111	0.14766666666666664	0.060333333333333336	0.4306666666666667	0.060333333333333336	0.4306666666666667	0.18741666666666668	0.12387500000000001	112.0
chr1	941668	941670	82	144	0.155	0.2443333333333333	0.0555	0.33433333333333337	0.0555	0.33433333333333337	0.19729166666666667	0.12639583333333335	113.0
chr1	924132	924134	114	114	0.18600000000000005	0.07033333333333333	0.12633333333333333	0.287	0.07033333333333333	0.287	0.16741666666666666	0.118875	114.0
chr1	940362	940364	132	98	0.1	0.085	0.08233333333333333	0.3333333333333333	0.08233333333333333	0.3333333333333333	0.15016666666666667	0.11624999999999999	115.0
chr1	925492	925494	121	110	0.26766666666666666	0.07233333333333332	0.20333333333333334	0.099	0.07233333333333332	0.26766666666666666	0.16058333333333333	0.11645833333333333	115.5
chr1	932256	932258	145	88	0.19699999999999995	0.11366666666666655	0.08933333333333326	0.16666666666666666	0.08933333333333326	0.19699999999999995	0.1416666666666666	0.11549999999999994	116.5
chr1	923847	923849	148	89	0.08833333333333332	0.10266666666666664	0.2456666666666667	0.12033333333333332	0.08833333333333332	0.2456666666666667	0.13924999999999998	0.11379166666666665	118.5
chr1	940323	940325	118	121	0.25	0.06666666666666668	0.08333333333333333	0.25	0.06666666666666668	0.25	0.16249999999999998	0.11458333333333333	119.5
chr1	940893	940895	124	118	0.2383333333333333	0.06833333333333333	0.10200000000000002	0.20600000000000002	0.06833333333333333	0.2383333333333333	0.15366666666666667	0.111	121.0
chr1	940539	940541	74	173	0.4766666666666667	0.03900000000000002	0.09333333333333334	0.19233333333333336	0.03900000000000002	0.4766666666666667	0.20033333333333336	0.1196666666666667	123.5
chr1	924287	924289	117	135	0.05933333333333333	0.10733333333333336	0.3103333333333333	0.17400000000000002	0.05933333333333333	0.3103333333333333	0.16275	0.11104166666666666	126.0
chr1	923439	923441	105	147	0.3643333333333333	0.142	0.055	0.14300000000000002	0.055	0.3643333333333333	0.17608333333333334	0.11554166666666667	126.0
chr1	930541	930543	163	90	0.09699999999999998	0.1276666666666666	0.17999999999999994	0.08499999999999996	0.08499999999999996	0.17999999999999994	0.12241666666666662	0.10370833333333329	126.5
chr1	940986	940988	102	152	0.22033333333333333	0.05133333333333333	0.23066666666666666	0.21600000000000003	0.05133333333333333	0.23066666666666666	0.17958333333333332	0.11545833333333333	127.0
chr1	924522	924524	168	87	0.111	0.1	0.08966666666666667	0.17500000000000002	0.08966666666666667	0.17500000000000002	0.11891666666666667	0.10429166666666667	127.5
chr1	932271	932273	177	78	0.09633333333333316	0.1223333333333333	0.09999999999999988	0.1196666666666666	0.09633333333333316	0.1223333333333333	0.10958333333333324	0.10295833333333321	127.5
chr1	940499	940501	154	102	0.09033333333333332	0.18600000000000005	0.1696666666666667	0.07966666666666665	0.07966666666666665	0.18600000000000005	0.13141666666666665	0.10554166666666664	128.0
chr1	924239	924241	130	129	0.06233333333333334	0.2556666666666667	0.17066666666666666	0.115	0.06233333333333334	0.2556666666666667	0.15091666666666667	0.106625	129.5
chr1	924489	924491	134	125	0.111	0.275	0.06533333333333334	0.14300000000000002	0.06533333333333334	0.275	0.14858333333333335	0.10695833333333335	129.5
chr1	940573	940575	149	111	0.17233333333333334	0.07200000000000002	0.09699999999999999	0.20866666666666672	0.07200000000000002	0.20866666666666672	0.1375	0.10475000000000001	130.0
chr1	924438	924440	153	107	0.16666666666666666	0.14300000000000002	0.14633333333333334	0.07533333333333334	0.07533333333333334	0.16666666666666666	0.13283333333333333	0.10408333333333333	130.0
chr1	931650	931652	189	77	0.09666666666666657	0.10499999999999997	0.10266666666666667	0.1103333333333334	0.09666666666666657	0.1103333333333334	0.10366666666666666	0.10016666666666661	133.0
chr1	925106	925108	161	105	0.11766666666666667	0.2191666666666667	0.08166666666666668	0.07566666666666666	0.07566666666666666	0.2191666666666667	0.12354166666666667	0.09960416666666666	133.0
chr1	924326	924328	141	128	0.0625	0.2385	0.125	0.1446666666666667	0.0625	0.2385	0.14266666666666666	0.10258333333333333	134.5
chr1	941003	941005	88	184	0.1316666666666667	0.033000000000000036	0.35666666666666674	0.2413333333333334	0.033000000000000036	0.35666666666666674	0.1906666666666667	0.11183333333333337	136.0
chr1	924710	924712	120	154	0.2406666666666667	0.2166666666666668	0.05	0.13866666666666666	0.05	0.2406666666666667	0.16150000000000006	0.10575000000000004	137.0
chr1	927485	927487	126	150	0.05400000000000002	0.139	0.349	0.06666666666666665	0.05400000000000002	0.349	0.15216666666666667	0.10308333333333335	138.0
chr1	924717	924719	109	175	0.3503333333333334	0.15316666666666667	0.03833333333333333	0.13866666666666666	0.03833333333333333	0.3503333333333334	0.17012500000000005	0.10422916666666669	142.0
chr1	925869	925871	123	163	0.09000000000000001	0.042666666666666665	0.122	0.361	0.042666666666666665	0.361	0.15391666666666667	0.09829166666666667	143.0
chr1	939085	939087	173	113	0.10283333333333344	0.07050000000000012	0.14450000000000007	0.14450000000000007	0.07050000000000012	0.14450000000000007	0.11558333333333345	0.09304166666666679	143.0
chr1	923450	923452	127	166	0.3783333333333334	0.138	0.050666666666666665	0.041666666666666664	0.041666666666666664	0.3783333333333334	0.15216666666666667	0.09691666666666666	146.5
chr1	924814	924816	157	138	0.31066666666666665	0.07933333333333334	0.06966666666666665	0.05799999999999999	0.05799999999999999	0.31066666666666665	0.12941666666666665	0.09370833333333332	147.5
chr1	925906	925908	137	159	0.04699999999999999	0.092	0.111	0.3346666666666667	0.04699999999999999	0.3346666666666667	0.14616666666666667	0.09658333333333333	148.0
chr1	932705	932707	128	169	0.22233333333333327	0.139	0.205	0.04066666666666663	0.04066666666666663	0.22233333333333327	0.15174999999999994	0.09620833333333328	148.5
chr1	930013	930015	115	182	0.03433333333333344	0.1333333333333334	0.30000000000000004	0.18899999999999995	0.03433333333333344	0.30000000000000004	0.1641666666666667	0.09925000000000007	148.5
chr1	924413	924415	119	180	0.15	0.254	0.2085	0.036333333333333336	0.036333333333333336	0.254	0.16220833333333334	0.09927083333333334	149.5
chr1	939147	939149	150	149	0.054333333333333234	0.16766666666666674	0.16666666666666666	0.15466666666666662	0.054333333333333234	0.16766666666666674	0.1358333333333333	0.09508333333333327	149.5
chr1	925995	925997	164	137	0.11133333333333337	0.1253333333333333	0.05833333333333333	0.1943333333333333	0.05833333333333333	0.1943333333333333	0.12233333333333332	0.09033333333333332	150.5
chr1	923651	923653	147	156	0.21600000000000003	0.09099999999999996	0.04766666666666669	0.20833333333333331	0.04766666666666669	0.21600000000000003	0.14075	0.09420833333333334	151.5
chr1	930724	930726	187	119	0.06800000000000006	0.1383333333333333	0.10733333333333328	0.1043333333333334	0.06800000000000006	0.1383333333333333	0.1045	0.08625000000000002	153.0
chr1	933229	933231	184	123	0.18799999999999994	0.06666666666666665	0.07699999999999996	0.09666666666666657	0.06666666666666665	0.18799999999999994	0.10708333333333328	0.08687499999999997	153.5
chr1	924800	924802	182	127	0.20000000000000007	0.06333333333333334	0.06899999999999999	0.09933333333333334	0.06333333333333334	0.20000000000000007	0.10791666666666667	0.085625	154.5
chr1	939110	939112	159	151	0.16816666666666658	0.09083333333333332	0.1865	0.053166666666666695	0.053166666666666695	0.1865	0.12466666666666665	0.08891666666666667	155.0
chr1	928480	928482	151	162	0.046666666666666516	0.20366666666666647	0.20366666666666647	0.08199999999999985	0.046666666666666516	0.20366666666666647	0.13399999999999984	0.09033333333333318	156.5
chr1	924895	924897	155	160	0.2046666666666667	0.04666666666666667	0.15883333333333333	0.11466666666666668	0.04666666666666667	0.2046666666666667	0.13120833333333334	0.0889375	157.5
chr1	940726	940728	200	116	0.09366666666666666	0.12466666666666665	0.10066666666666667	0.06966666666666664	0.06966666666666664	0.12466666666666665	0.09716666666666668	0.08341666666666667	158.0
chr1	940484	940486	186	131	0.111	0.08700000000000001	0.06133333333333334	0.16133333333333333	0.06133333333333334	0.16133333333333333	0.10516666666666667	0.08325	158.5
chr1	924818	924820	136	181	0.3386666666666667	0.15666666666666665	0.058666666666666666	0.03599999999999999	0.03599999999999999	0.3386666666666667	0.14750000000000002	0.09175	158.5
chr1	933652	933654	171	146	0.08666666666666667	0.055333333333333456	0.17133333333333334	0.15233333333333346	0.055333333333333456	0.17133333333333334	0.11641666666666672	0.08587500000000009	158.5
chr1	924109	924111	178	142	0.0555	0.0625	0.09666666666666666	0.22233333333333336	0.0555	0.22233333333333336	0.10925	0.082375	160.0
