chrom	start	end	Average delta rank	Minimum delta rank	NK-Naive CD4 T	NK-B_cell	NK-Naive CD8 T	NK-Mono	Minimum delta	Maximum delta	Average delta	(Minimum delta+Average delta)/2	(Minimum delta rank+Average delta rank)/2
chr1	931106	931108	44	32	0.10766666666666667	0.141	0.18400000000000005	0.3086666666666668	0.10766666666666667	0.3086666666666668	0.18533333333333335	0.14650000000000002	38.0
chr1	926230	926232	50	27	0.13566666666666666	0.11233333333333333	0.173	0.3013333333333333	0.11233333333333333	0.3013333333333333	0.18058333333333326	0.1464583333333333	38.5
chr1	924672	924674	31	48	0.08333333333333333	0.16666666666666669	0.39166666666666666	0.1721666666666667	0.08333333333333333	0.39166666666666666	0.20345833333333327	0.1433958333333333	39.5
chr1	926217	926219	37	44	0.2423333333333333	0.32433333333333336	0.08499999999999999	0.14433333333333334	0.08499999999999999	0.32433333333333336	0.199	0.14200000000000002	40.5
chr1	933124	933126	47	38	0.21433333333333326	0.21433333333333326	0.09266666666666656	0.21433333333333326	0.09266666666666656	0.21433333333333326	0.1839166666666666	0.1382916666666666	42.5
chr1	931966	931968	27	60	0.4046666666666666	0.06300000000000003	0.10033333333333336	0.2813333333333334	0.06300000000000003	0.4046666666666666	0.21233333333333335	0.1376666666666667	43.5
chr1	941724	941726	33	55	0.2726666666666667	0.2716666666666667	0.193	0.07333333333333332	0.07333333333333332	0.2726666666666667	0.2026666666666667	0.138	44.0
chr1	929961	929963	43	46	0.08350000000000002	0.21300000000000008	0.19833333333333325	0.25	0.08350000000000002	0.25	0.18620833333333334	0.13485416666666666	44.5
chr1	925522	925524	45	53	0.111	0.15	0.4053333333333334	0.07400000000000001	0.07400000000000001	0.4053333333333334	0.18508333333333335	0.12954166666666667	49.0
chr1	925527	925529	67	31	0.11	0.16066666666666665	0.12733333333333333	0.17699999999999996	0.11	0.17699999999999996	0.14375	0.126875	49.0
chr1	930963	930965	70	29	0.16666666666666666	0.125	0.111	0.16666666666666666	0.111	0.16666666666666666	0.1423333333333333	0.12666666666666665	49.5
chr1	932037	932039	19	81	0.429	0.03666666666666663	0.11733333333333328	0.3853333333333333	0.03666666666666663	0.429	0.2420833333333333	0.13937499999999997	50.0
chr1	924706	924708	68	35	0.1	0.11099999999999996	0.22233333333333333	0.13983333333333334	0.1	0.22233333333333333	0.14329166666666665	0.12164583333333333	51.5
chr1	925537	925539	63	41	0.08833333333333335	0.10566666666666666	0.10300000000000001	0.32	0.08833333333333335	0.32	0.15425	0.12129166666666667	52.0
chr1	929233	929235	29	79	0.040000000000000036	0.27633333333333343	0.30200000000000005	0.21	0.040000000000000036	0.30200000000000005	0.20708333333333334	0.12354166666666669	54.0
chr1	941647	941649	49	63	0.35100000000000003	0.2566666666666667	0.05800000000000001	0.06366666666666666	0.05800000000000001	0.35100000000000003	0.18233333333333335	0.12016666666666667	56.0
chr1	925494	925496	76	37	0.13333333333333333	0.15933333333333335	0.09666666666666668	0.13899999999999998	0.09666666666666668	0.15933333333333335	0.13208333333333333	0.114375	56.5
chr1	933135	933137	72	42	0.15166666666666662	0.08833333333333315	0.11	0.19933333333333325	0.08833333333333315	0.19933333333333325	0.13733333333333325	0.1128333333333332	57.0
chr1	940007	940009	48	68	0.4231666666666667	0.05033333333333333	0.10000000000000007	0.16166666666666665	0.05033333333333333	0.4231666666666667	0.1837916666666667	0.11706250000000001	58.0
chr1	924854	924856	66	50	0.07849999999999999	0.1985	0.1628333333333333	0.13649999999999998	0.07849999999999999	0.1985	0.1440833333333333	0.11129166666666665	58.0
chr1	929170	929172	82	40	0.1329999999999999	0.18033333333333326	0.09699999999999998	0.08966666666666667	0.08966666666666667	0.18033333333333326	0.12499999999999994	0.10733333333333331	61.0
chr1	936204	936206	57	66	0.25299999999999995	0.05233333333333329	0.1760000000000001	0.1933333333333333	0.05233333333333329	0.25299999999999995	0.16866666666666666	0.11049999999999997	61.5
chr1	941656	941658	21	102	0.39783333333333337	0.4505	0.0215	0.07816666666666666	0.0215	0.4505	0.237	0.12925	61.5
chr1	941686	941688	41	82	0.2833333333333333	0.2963333333333334	0.035333333333333335	0.16733333333333333	0.035333333333333335	0.2963333333333334	0.19558333333333336	0.11545833333333334	61.5
chr1	930605	930607	73	51	0.1233333333333333	0.18933333333333324	0.15233333333333332	0.07799999999999985	0.07799999999999985	0.18933333333333324	0.13574999999999993	0.10687499999999989	62.0
chr1	926248	926250	53	72	0.06666666666666668	0.375	0.04666666666666667	0.22	0.04666666666666667	0.375	0.17708333333333334	0.111875	62.5
chr1	925011	925013	58	69	0.25	0.05	0.195	0.17099999999999996	0.05	0.25	0.16649999999999998	0.10824999999999999	63.5
chr1	935817	935819	85	43	0.08633333333333337	0.10100000000000008	0.1183333333333334	0.17833333333333334	0.08633333333333337	0.17833333333333334	0.12100000000000005	0.10366666666666671	64.0
chr1	941734	941736	42	86	0.2333333333333333	0.3833333333333333	0.11	0.034	0.034	0.3833333333333333	0.19016666666666665	0.11208333333333333	64.0
chr1	941697	941699	51	78	0.2418333333333333	0.19850000000000004	0.040166666666666656	0.2381666666666667	0.040166666666666656	0.2418333333333333	0.1796666666666667	0.10991666666666668	64.5
chr1	928551	928553	90	39	0.1333333333333333	0.10566666666666658	0.09199999999999996	0.11066666666666658	0.09199999999999996	0.1333333333333333	0.1104166666666666	0.10120833333333328	64.5
chr1	941754	941756	32	99	0.5	0.15900000000000006	0.1313333333333333	0.02300000000000001	0.02300000000000001	0.5	0.20333333333333334	0.11316666666666668	65.5
chr1	941706	941708	46	85	0.29999999999999993	0.31833333333333325	0.08533333333333333	0.034	0.034	0.31833333333333325	0.18441666666666665	0.10920833333333332	65.5
chr1	940818	940820	80	54	0.07400000000000001	0.07400000000000001	0.16533333333333333	0.2073333333333333	0.07400000000000001	0.2073333333333333	0.13016666666666665	0.10208333333333333	67.0
chr1	933655	933657	81	58	0.12399999999999987	0.1519999999999999	0.18066666666666675	0.06399999999999982	0.06399999999999982	0.18066666666666675	0.1301666666666666	0.09708333333333322	69.5
chr1	929226	929228	91	49	0.08283333333333331	0.11483333333333336	0.12649999999999995	0.11550000000000005	0.08283333333333331	0.12649999999999995	0.10991666666666666	0.09637499999999999	70.0
chr1	935676	935678	71	73	0.20366666666666647	0.044666666666666736	0.07566666666666666	0.2393333333333333	0.044666666666666736	0.2393333333333333	0.1408333333333333	0.09275000000000003	72.0
chr1	927125	927127	87	59	0.15166666666666673	0.15166666666666673	0.06366666666666665	0.10300000000000008	0.06366666666666665	0.15166666666666673	0.11750000000000005	0.09058333333333335	73.0
chr1	936239	936241	77	70	0.2433333333333333	0.08599999999999998	0.04899999999999993	0.1479999999999999	0.04899999999999993	0.2433333333333333	0.13158333333333327	0.0902916666666666	73.5
chr1	928353	928355	83	64	0.05549999999999988	0.16649999999999998	0.11149999999999992	0.16649999999999998	0.05549999999999988	0.16649999999999998	0.12499999999999994	0.09024999999999991	73.5
chr1	925670	925672	69	80	0.165	0.134	0.03666666666666667	0.236	0.03666666666666667	0.236	0.1429166666666667	0.08979166666666669	74.5
chr1	924730	924732	88	61	0.061	0.11033333333333337	0.16233333333333336	0.13316666666666668	0.061	0.16233333333333336	0.11670833333333334	0.08885416666666668	74.5
chr1	924862	924864	86	65	0.053166666666666654	0.15816666666666668	0.16516666666666666	0.09683333333333333	0.053166666666666654	0.16516666666666666	0.11833333333333332	0.08574999999999999	75.5
chr1	937367	937369	107	45	0.08499999999999996	0.08499999999999996	0.08499999999999996	0.08499999999999996	0.08499999999999996	0.08499999999999996	0.08499999999999996	0.08499999999999996	76.0
chr1	923645	923647	99	56	0.06733333333333327	0.10466666666666666	0.1013333333333333	0.11400000000000005	0.06733333333333327	0.11400000000000005	0.09683333333333333	0.0820833333333333	77.5
chr1	940487	940489	61	98	0.023666666666666662	0.19133333333333333	0.087	0.3453333333333334	0.023666666666666662	0.3453333333333334	0.16183333333333333	0.09275	79.5
chr1	940430	940432	56	105	0.07	0.345	0.020000000000000004	0.2503333333333333	0.020000000000000004	0.345	0.17133333333333334	0.09566666666666668	80.5
chr1	925566	925568	74	88	0.18000000000000002	0.03333333333333333	0.13266666666666668	0.191	0.03333333333333333	0.191	0.13425	0.08379166666666667	81.0
chr1	924510	924512	96	67	0.11	0.14400000000000002	0.11	0.05133333333333333	0.05133333333333333	0.14400000000000002	0.10383333333333332	0.07758333333333332	81.5
chr1	932001	932003	93	74	0.25933333333333336	0.06233333333333334	0.06366666666666666	0.04366666666666666	0.04366666666666666	0.25933333333333336	0.10725	0.07545833333333332	83.5
chr1	924738	924740	78	90	0.032333333333333325	0.07033333333333333	0.1910000000000001	0.23166666666666666	0.032333333333333325	0.23166666666666666	0.13133333333333336	0.08183333333333334	84.0
chr1	938652	938654	75	93	0.02966666666666662	0.17766666666666664	0.1443333333333333	0.17766666666666664	0.02966666666666662	0.17766666666666664	0.1323333333333333	0.08099999999999996	84.0
chr1	930074	930076	59	110	0.25	0.014333333333333418	0.25	0.1389999999999999	0.014333333333333418	0.25	0.16333333333333333	0.08883333333333338	84.5
chr1	931816	931818	79	94	0.15133333333333332	0.2253333333333333	0.1176666666666666	0.028333333333333318	0.028333333333333318	0.2253333333333333	0.13066666666666665	0.07949999999999999	86.5
chr1	935834	935836	97	77	0.04166666666666674	0.10366666666666667	0.2096666666666668	0.0490000000000001	0.04166666666666674	0.2096666666666668	0.10100000000000008	0.07133333333333342	87.0
chr1	932836	932838	62	117	0.012333333333333418	0.27433333333333343	0.11433333333333327	0.2396666666666668	0.012333333333333418	0.27433333333333343	0.16016666666666673	0.08625000000000008	89.5
chr1	940676	940678	118	62	0.101	0.06433333333333335	0.06133333333333335	0.05966666666666667	0.05966666666666667	0.101	0.07158333333333332	0.06562499999999999	90.0
chr1	925019	925021	98	83	0.03450000000000003	0.14816666666666667	0.122	0.09716666666666668	0.03450000000000003	0.14816666666666667	0.10045833333333334	0.06747916666666669	90.5
chr1	924463	924465	55	128	0.12616666666666668	0.00633333333333333	0.311	0.2483333333333333	0.00633333333333333	0.311	0.17295833333333333	0.08964583333333333	91.5
chr1	932022	932024	89	96	0.24366666666666675	0.09966666666666664	0.02633333333333332	0.07366666666666666	0.02633333333333332	0.24366666666666675	0.11083333333333334	0.06858333333333333	92.5
chr1	927140	927142	111	75	0.11266666666666668	0.04300000000000004	0.09066666666666676	0.06733333333333336	0.04300000000000004	0.11266666666666668	0.07841666666666673	0.060708333333333385	93.0
chr1	940600	940602	64	123	0.008333333333333345	0.3393333333333333	0.1096666666666667	0.14566666666666672	0.008333333333333345	0.3393333333333333	0.15075000000000002	0.07954166666666668	93.5
chr1	925979	925981	103	84	0.08333333333333333	0.15733333333333333	0.07500000000000002	0.034333333333333334	0.034333333333333334	0.15733333333333333	0.0875	0.06091666666666666	93.5
chr1	929146	929148	113	76	0.042166666666666686	0.06916666666666671	0.043166666666666575	0.15149999999999994	0.042166666666666686	0.15149999999999994	0.07649999999999997	0.05933333333333333	94.5
chr1	923629	923631	84	109	0.215	0.09133333333333334	0.16533333333333333	0.014666666666666675	0.014666666666666675	0.215	0.12158333333333332	0.06812499999999999	96.5
chr1	935761	935763	60	133	0.35766666666666663	0.004333333333333357	0.187	0.09899999999999998	0.004333333333333357	0.35766666666666663	0.16199999999999998	0.08316666666666667	96.5
chr1	931660	931662	108	87	0.10166666666666656	0.03399999999999992	0.08499999999999996	0.10166666666666656	0.03399999999999992	0.10166666666666656	0.08058333333333326	0.05729166666666659	97.5
chr1	928535	928537	106	89	0.10583333333333332	0.032333333333333325	0.03400000000000003	0.17133333333333334	0.032333333333333325	0.17133333333333334	0.085875	0.059104166666666666	97.5
chr1	932265	932267	100	97	0.030166666666666675	0.025166666666666667	0.1835	0.13316666666666674	0.025166666666666667	0.1835	0.09300000000000004	0.059083333333333356	98.5
chr1	925837	925839	65	134	0.02749999999999997	0.282	0.003333333333333327	0.271	0.003333333333333327	0.282	0.14595833333333333	0.07464583333333333	99.5
chr1	923739	923741	109	92	0.05266666666666667	0.13333333333333336	0.10566666666666663	0.029666666666666675	0.029666666666666675	0.13333333333333336	0.08033333333333333	0.055	100.5
chr1	931176	931178	133	71	0.047666666666666635	0.047666666666666635	0.047666666666666635	0.047666666666666635	0.047666666666666635	0.047666666666666635	0.047666666666666635	0.047666666666666635	102.0
chr1	929208	929210	110	95	0.11050000000000004	0.027166666666666672	0.11050000000000004	0.07283333333333343	0.027166666666666672	0.11050000000000004	0.08025000000000004	0.05370833333333336	102.5
chr1	932566	932568	115	91	0.1110000000000001	0.06300000000000006	0.03200000000000003	0.0936666666666668	0.03200000000000003	0.1110000000000001	0.07491666666666674	0.053458333333333385	103.0
chr1	941577	941579	95	113	0.013333333333333322	0.3346666666666666	0.035666666666666666	0.03633333333333332	0.013333333333333322	0.3346666666666666	0.10499999999999997	0.059166666666666645	104.0
chr1	926057	926059	92	116	0.24966666666666665	0.012999999999999984	0.15899999999999995	0.013333333333333322	0.012999999999999984	0.24966666666666665	0.10874999999999996	0.06087499999999997	104.0
chr1	925936	925938	104	107	0.09266666666666666	0.214	0.02366666666666667	0.019666666666666683	0.019666666666666683	0.214	0.0875	0.05358333333333334	105.5
chr1	940610	940612	105	111	0.256	0.03566666666666668	0.04166666666666666	0.014000000000000012	0.014000000000000012	0.256	0.08683333333333335	0.05041666666666668	108.0
chr1	941452	941454	101	120	0.010000000000000007	0.2053333333333333	0.05066666666666664	0.10066666666666667	0.010000000000000007	0.2053333333333333	0.09166666666666667	0.05083333333333334	110.5
chr1	939115	939117	121	106	0.01983333333333326	0.08233333333333326	0.08233333333333326	0.08233333333333326	0.01983333333333326	0.08233333333333326	0.06670833333333326	0.04327083333333326	113.5
chr1	924236	924238	120	108	0.06233333333333334	0.1753333333333334	0.021000000000000005	0.018000000000000016	0.018000000000000016	0.1753333333333334	0.0691666666666667	0.043583333333333356	114.0
chr1	928586	928588	94	137	0.141	0.08733333333333326	0.0023333333333332984	0.19599999999999995	0.0023333333333332984	0.19599999999999995	0.10666666666666663	0.054499999999999965	115.5
chr1	939316	939318	102	130	0.1429999999999999	0.0050000000000000044	0.10133333333333328	0.10966666666666658	0.0050000000000000044	0.1429999999999999	0.08974999999999994	0.04737499999999997	116.0
chr1	923792	923794	130	104	0.021	0.04299999999999999	0.10400000000000001	0.03766666666666666	0.021	0.10400000000000001	0.05141666666666666	0.03620833333333333	117.0
chr1	923737	923739	116	119	0.010666666666666658	0.04700000000000002	0.17166666666666666	0.06900000000000002	0.010666666666666658	0.17166666666666666	0.07458333333333332	0.04262499999999999	117.5
chr1	926420	926422	117	118	0.11066666666666668	0.08566666666666656	0.08066666666666666	0.012000000000000007	0.012000000000000007	0.11066666666666668	0.07224999999999998	0.042124999999999996	117.5
chr1	932459	932461	122	114	0.013333333333333308	0.1353333333333333	0.06599999999999995	0.050999999999999934	0.013333333333333308	0.1353333333333333	0.06641666666666662	0.039874999999999966	118.0
chr1	933459	933461	137	100	0.02533333333333332	0.03566666666666673	0.06366666666666654	0.022666666666666613	0.022666666666666613	0.06366666666666654	0.0368333333333333	0.029749999999999957	118.5
chr1	924989	924991	125	112	0.048500000000000015	0.013500000000000012	0.09666666666666668	0.08733333333333337	0.013500000000000012	0.09666666666666668	0.06150000000000003	0.03750000000000002	118.5
chr1	923648	923650	123	115	0.08966666666666663	0.0633333333333333	0.013333333333333308	0.08466666666666668	0.013333333333333308	0.08966666666666663	0.06274999999999997	0.03804166666666664	119.0
chr1	941262	941264	135	103	0.021666666666666667	0.021333333333333343	0.10666666666666666	0.02799999999999997	0.021333333333333343	0.10666666666666666	0.04441666666666666	0.032875	119.0
chr1	926920	926922	114	125	0.007333333333333414	0.08333333333333326	0.07533333333333325	0.1383333333333333	0.007333333333333414	0.1383333333333333	0.07608333333333331	0.04170833333333336	119.5
chr1	932451	932453	139	101	0.02299999999999991	0.02233333333333332	0.03066666666666662	0.04533333333333334	0.02233333333333332	0.04533333333333334	0.030333333333333292	0.026333333333333306	120.0
chr1	925871	925873	112	131	0.033333333333333326	0.12966666666666668	0.00466666666666668	0.14533333333333334	0.00466666666666668	0.14533333333333334	0.07825000000000001	0.04145833333333335	121.5
chr1	925972	925974	124	121	0.04633333333333334	0.11533333333333334	0.07933333333333331	0.009000000000000008	0.009000000000000008	0.11533333333333334	0.0625	0.035750000000000004	122.5
chr1	926028	926030	119	132	0.14449999999999996	0.00449999999999999	0.050833333333333335	0.07849999999999999	0.00449999999999999	0.14449999999999996	0.06958333333333333	0.03704166666666666	125.5
chr1	939900	939902	126	126	0.1833333333333334	0.03633333333333327	0.010999999999999954	0.006666666666666654	0.006666666666666654	0.1833333333333334	0.05933333333333333	0.03299999999999999	126.0
chr1	929193	929195	128	129	0.10850000000000004	0.020166666666666663	0.006166666666666765	0.08916666666666673	0.006166666666666765	0.10850000000000004	0.05600000000000005	0.031083333333333407	128.5
chr1	935277	935279	136	122	0.008666666666666711	0.07466666666666666	0.04333333333333345	0.027666666666666728	0.008666666666666711	0.07466666666666666	0.03858333333333338	0.023625000000000045	129.0
chr1	929218	929220	134	127	0.0708333333333333	0.043500000000000094	0.00649999999999995	0.0625	0.00649999999999995	0.0708333333333333	0.04583333333333334	0.026166666666666644	130.5
chr1	936611	936613	138	124	0.007833333333333359	0.0555	0.022500000000000075	0.0555	0.007833333333333359	0.0555	0.035333333333333355	0.021583333333333357	131.0
chr1	924952	924954	127	140	0.00016666666666667607	0.11783333333333335	0.05499999999999999	0.05616666666666667	0.00016666666666667607	0.11783333333333335	0.05729166666666668	0.028729166666666677	133.5
chr1	928553	928555	131	136	0.08599999999999998	0.08599999999999998	0.002666666666666595	0.03099999999999992	0.002666666666666595	0.08599999999999998	0.05141666666666662	0.027041666666666606	133.5
chr1	924201	924203	132	135	0.062	0.06566666666666668	0.060666666666666674	0.0026666666666666644	0.0026666666666666644	0.06566666666666668	0.04775	0.025208333333333333	133.5
chr1	941083	941085	129	139	0.016500000000000015	0.0006666666666667043	0.1903333333333334	0.00033333333333340764	0.00033333333333340764	0.1903333333333334	0.05195833333333338	0.026145833333333392	134.0
chr1	938121	938123	140	138	0.0014999999999999456	0.015166666666666662	0.04249999999999998	0.01883333333333337	0.0014999999999999456	0.04249999999999998	0.01949999999999999	0.010499999999999968	139.0
