chrom	start	end	Average delta rank	Minimum delta rank	B_cell-NK	B_cell-Naive CD8 T	B_cell-Naive CD4 T	B_cell-Mono	Minimum delta	Maximum delta	Average delta	(Minimum delta+Average delta)/2	(Minimum delta rank+Average delta rank)/2
chr1	925082	925084	68	67	0.03999999999999998	0.1706666666666666	0.0693333333333333	0.21499999999999994	0.03999999999999998	0.21499999999999994	0.12374999999999994	0.08187499999999996	67.5
chr1	924456	924458	37	98	0.09366666666666668	0.019333333333333327	0.13033333333333333	0.3766666666666667	0.019333333333333327	0.3766666666666667	0.15500000000000005	0.0871666666666667	67.5
chr1	935587	935589	33	103	0.16433333333333333	0.017666666666666664	0.2836666666666667	0.2193333333333332	0.017666666666666664	0.2836666666666667	0.17124999999999996	0.09445833333333331	68.0
chr1	930202	930204	79	58	0.04949999999999999	0.133	0.133	0.133	0.04949999999999999	0.133	0.112125	0.0808125	68.5
chr1	936060	936062	67	70	0.03899999999999992	0.07899999999999996	0.19133333333333336	0.19299999999999995	0.03899999999999992	0.19299999999999995	0.1255833333333333	0.08229166666666661	68.5
chr1	929899	929901	95	46	0.0578333333333334	0.09133333333333338	0.09933333333333336	0.09933333333333336	0.0578333333333334	0.09933333333333336	0.08695833333333339	0.0723958333333334	70.5
chr1	932087	932089	74	69	0.07700000000000007	0.13300000000000012	0.039333333333333435	0.21700000000000008	0.039333333333333435	0.21700000000000008	0.11658333333333346	0.07795833333333345	71.5
chr1	925380	925382	69	78	0.11633333333333333	0.1583333333333333	0.033	0.18233333333333326	0.033	0.18233333333333326	0.12249999999999996	0.07774999999999999	73.5
chr1	923485	923487	43	105	0.2273333333333333	0.14300000000000002	0.015833333333333338	0.20333333333333334	0.015833333333333338	0.2273333333333333	0.147375	0.08160416666666667	74.0
chr1	937106	937108	90	60	0.11366666666666655	0.11366666666666655	0.11366666666666655	0.04699999999999982	0.04699999999999982	0.11366666666666655	0.09699999999999988	0.07199999999999984	75.0
chr1	930198	930200	99	54	0.1110000000000001	0.06000000000000005	0.054333333333333456	0.1110000000000001	0.054333333333333456	0.1110000000000001	0.08408333333333343	0.06920833333333344	76.5
chr1	926021	926023	96	59	0.06400000000000003	0.049333333333333326	0.16999999999999998	0.06333333333333334	0.049333333333333326	0.16999999999999998	0.08666666666666667	0.068	77.5
chr1	925482	925484	75	89	0.15066666666666664	0.12533333333333332	0.16099999999999995	0.024	0.024	0.16099999999999995	0.11525	0.069625	82.0
chr1	936734	936736	115	49	0.056666666666666636	0.056666666666666636	0.056666666666666636	0.056666666666666636	0.056666666666666636	0.056666666666666636	0.056666666666666636	0.056666666666666636	82.0
chr1	929310	929312	83	84	0.19899999999999995	0.028000000000000025	0.14600000000000002	0.04133333333333333	0.028000000000000025	0.19899999999999995	0.10358333333333332	0.06579166666666666	83.5
chr1	936453	936455	64	104	0.22233333333333327	0.033333333333333215	0.2379999999999997	0.01666666666666661	0.01666666666666661	0.2379999999999997	0.12758333333333322	0.07212499999999991	84.0
chr1	939333	939335	107	62	0.05866666666666676	0.07066666666666667	0.10599999999999997	0.042666666666666735	0.042666666666666735	0.10599999999999997	0.06950000000000002	0.056083333333333374	84.5
chr1	937680	937682	91	79	0.19099999999999995	0.032333333333333325	0.10333333333333328	0.05966666666666665	0.032333333333333325	0.19099999999999995	0.0965833333333333	0.06445833333333331	85.0
chr1	924763	924765	84	87	0.10166666666666667	0.249	0.0373333333333333	0.025666666666666667	0.025666666666666667	0.249	0.10341666666666667	0.06454166666666666	85.5
chr1	929628	929630	108	64	0.042333333333333216	0.05366666666666653	0.08933333333333326	0.08933333333333326	0.042333333333333216	0.08933333333333326	0.06866666666666657	0.0554999999999999	86.0
chr1	929368	929370	104	68	0.122	0.03966666666666674	0.03966666666666674	0.10166666666666667	0.03966666666666674	0.122	0.07575000000000004	0.05770833333333339	86.0
chr1	937137	937139	86	86	0.02733333333333321	0.10533333333333328	0.1383333333333333	0.1383333333333333	0.02733333333333321	0.1383333333333333	0.10233333333333328	0.06483333333333324	86.0
chr1	927663	927665	94	85	0.17600000000000005	0.1083333333333334	0.027666666666666728	0.06499999999999995	0.027666666666666728	0.17600000000000005	0.09425000000000004	0.060958333333333385	89.5
chr1	939330	939332	71	108	0.1216666666666667	0.013666666666666716	0.17033333333333334	0.17033333333333334	0.013666666666666716	0.17033333333333334	0.11900000000000002	0.06633333333333337	89.5
chr1	928158	928160	72	107	0.21366666666666667	0.11066666666666658	0.1293333333333333	0.014666666666666715	0.014666666666666715	0.21366666666666667	0.11708333333333333	0.06587500000000002	89.5
chr1	924317	924319	102	77	0.08133333333333334	0.03333333333333334	0.04733333333333334	0.15233333333333332	0.03333333333333334	0.15233333333333332	0.07858333333333334	0.05595833333333334	89.5
chr1	925535	925537	66	116	0.00866666666666667	0.05600000000000002	0.2303333333333333	0.209	0.00866666666666667	0.2303333333333333	0.126	0.06733333333333333	91.0
chr1	929905	929907	92	90	0.2736666666666666	0.06399999999999995	0.023666666666666614	0.023666666666666614	0.023666666666666614	0.2736666666666666	0.09624999999999996	0.05995833333333329	91.0
chr1	932325	932327	73	111	0.1483333333333332	0.012666666666666604	0.20333333333333325	0.10266666666666656	0.012666666666666604	0.20333333333333325	0.11674999999999992	0.06470833333333326	92.0
chr1	938070	938072	105	81	0.09700000000000007	0.09700000000000007	0.03100000000000014	0.06933333333333336	0.03100000000000014	0.09700000000000007	0.07358333333333343	0.052291666666666785	93.0
chr1	939410	939412	88	100	0.11333333333333352	0.01866666666666672	0.08733333333333347	0.17433333333333345	0.01866666666666672	0.17433333333333345	0.0984166666666668	0.05854166666666676	94.0
chr1	928749	928751	106	83	0.08466666666666668	0.08466666666666668	0.029000000000000026	0.08466666666666668	0.029000000000000026	0.08466666666666668	0.07075000000000002	0.049875000000000023	94.5
chr1	924355	924357	76	113	0.0866666666666667	0.1771666666666667	0.010333333333333332	0.1861666666666667	0.010333333333333332	0.1861666666666667	0.11508333333333336	0.06270833333333334	94.5
chr1	929619	929621	89	101	0.14833333333333332	0.0183333333333332	0.17366666666666666	0.053333333333333344	0.0183333333333332	0.17366666666666666	0.09841666666666662	0.05837499999999991	95.0
chr1	937113	937115	114	76	0.06666666666666676	0.06666666666666676	0.06666666666666676	0.03333333333333344	0.03333333333333344	0.06666666666666676	0.058333333333333424	0.045833333333333434	95.0
chr1	927015	927017	117	75	0.07066666666666678	0.0451666666666668	0.07066666666666678	0.033666666666666845	0.033666666666666845	0.07066666666666678	0.0550416666666668	0.04435416666666682	96.0
chr1	932489	932491	101	92	0.1333333333333333	0.08899999999999998	0.07833333333333325	0.023333333333333317	0.023333333333333317	0.1333333333333333	0.08099999999999996	0.05216666666666664	96.5
chr1	924778	924780	78	118	0.007666666666666669	0.19299999999999995	0.15266666666666662	0.10216666666666667	0.007666666666666669	0.19299999999999995	0.11387499999999998	0.06077083333333332	98.0
chr1	933302	933304	122	80	0.07366666666666666	0.032333333333333325	0.03200000000000003	0.036666666666666736	0.03200000000000003	0.07366666666666666	0.04366666666666669	0.03783333333333336	101.0
chr1	928734	928736	116	88	0.06666666666666676	0.02500000000000013	0.06666666666666676	0.06666666666666676	0.02500000000000013	0.06666666666666676	0.056250000000000105	0.04062500000000012	102.0
chr1	937704	937706	109	96	0.08333333333333337	0.08333333333333337	0.08333333333333337	0.021333333333333315	0.021333333333333315	0.08333333333333337	0.06783333333333336	0.044583333333333336	102.5
chr1	923741	923743	97	110	0.07400000000000002	0.1293333333333333	0.01266666666666666	0.12766666666666665	0.01266666666666666	0.1293333333333333	0.08591666666666667	0.049291666666666664	103.5
chr1	938477	938479	82	125	0.2963333333333333	0.053333333333333344	0.002666666666666706	0.07099999999999995	0.002666666666666706	0.2963333333333333	0.10583333333333332	0.054250000000000013	103.5
chr1	924376	924378	87	122	0.1925000000000001	0.14350000000000004	0.0060000000000000045	0.0606666666666667	0.0060000000000000045	0.1925000000000001	0.1006666666666667	0.05333333333333335	104.5
chr1	923070	923072	98	117	0.008000000000000007	0.05400000000000005	0.19333333333333336	0.08200000000000007	0.008000000000000007	0.19333333333333336	0.08433333333333337	0.04616666666666669	107.5
chr1	932475	932477	113	102	0.10233333333333328	0.0239999999999998	0.10233333333333328	0.0183333333333332	0.0183333333333332	0.10233333333333328	0.06174999999999989	0.040041666666666545	107.5
chr1	928690	928692	123	94	0.02316666666666678	0.03600000000000003	0.06233333333333346	0.03633333333333344	0.02316666666666678	0.06233333333333346	0.03945833333333343	0.031312500000000104	108.5
chr1	923824	923826	100	120	0.00999999999999998	0.006499999999999992	0.2005	0.11100000000000004	0.006499999999999992	0.2005	0.08199999999999999	0.04424999999999999	110.0
chr1	939034	939036	126	97	0.02100000000000002	0.045333333333333226	0.04949999999999999	0.02166666666666661	0.02100000000000002	0.04949999999999999	0.03437499999999996	0.02768749999999999	111.5
chr1	936438	936440	118	106	0.08233333333333326	0.04899999999999993	0.015666666666666496	0.05266666666666664	0.015666666666666496	0.08233333333333326	0.04991666666666658	0.03279166666666654	112.0
chr1	67182	67184	103	124	0.09999999999999998	0.09999999999999998	0.004666666666666597	0.09999999999999998	0.004666666666666597	0.09999999999999998	0.07616666666666662	0.04041666666666661	113.5
chr1	935652	935654	111	121	0.020333333333333314	0.11133333333333327	0.124	0.006333333333333302	0.006333333333333302	0.124	0.06549999999999997	0.03591666666666664	116.0
chr1	929498	929500	121	112	0.011666666666666605	0.039999999999999925	0.023666666666666725	0.10066666666666667	0.011666666666666605	0.10066666666666667	0.043999999999999984	0.027833333333333293	116.5
chr1	928775	928777	110	123	0.08766666666666667	0.005333333333333412	0.08766666666666667	0.08766666666666667	0.005333333333333412	0.08766666666666667	0.06708333333333336	0.036208333333333384	116.5
chr1	923053	923055	120	114	0.01866666666666661	0.05000000000000005	0.10199999999999998	0.009333333333333305	0.009333333333333305	0.10199999999999998	0.044999999999999984	0.027166666666666645	117.0
chr1	937708	937710	125	109	0.013666666666666605	0.04133333333333333	0.04133333333333333	0.04133333333333333	0.013666666666666605	0.04133333333333333	0.03441666666666665	0.024041666666666628	117.0
chr1	927090	927092	112	127	0.0006666666666667043	0.1073333333333334	0.06566666666666676	0.07500000000000008	0.0006666666666667043	0.1073333333333334	0.062166666666666724	0.03141666666666672	119.5
chr1	930319	930321	127	115	0.03499999999999992	0.03533333333333322	0.03066666666666662	0.008666666666666711	0.008666666666666711	0.03533333333333322	0.027416666666666617	0.018041666666666664	121.0
chr1	925634	925636	124	119	0.03366666666666665	0.03266666666666665	0.0069999999999999785	0.07883333333333331	0.0069999999999999785	0.07883333333333331	0.03804166666666665	0.022520833333333313	121.5
chr1	932355	932357	119	126	0.1110000000000001	0.001000000000000112	0.055500000000000105	0.027666666666666728	0.001000000000000112	0.1110000000000001	0.04879166666666676	0.024895833333333436	122.5
