chrom	start	end	NK-Naive CD4 T	NK-B_cell	NK-Naive CD8 T	NK-Mono	Minimum delta	Maximum delta	Average delta	(Minimum delta+Average delta)/2	Minimum delta rank	Average delta rank	(Minimum delta rank+Average delta rank)/2
chr1	925584	925586	0.26333333333333336	0.19000000000000009	0.32066666666666666	0.236	0.19000000000000009	0.32066666666666666	0.2525	0.22125000000000006	12.0	15.0	13.5
chr1	941729	941731	0.26666666666666666	0.26566666666666666	0.1696666666666667	0.30800000000000005	0.1696666666666667	0.30800000000000005	0.2525	0.21108333333333335	15.0	15.0	15.0
chr1	936736	936738	0.19333333333333336	0.19333333333333336	0.2766666666666667	0.21	0.19333333333333336	0.2766666666666667	0.21833333333333332	0.20583333333333334	10.0	25.0	17.5
chr1	923177	923179	0.3336666666666668	0.2453333333333334	0.18600000000000005	0.17533333333333326	0.17533333333333326	0.3336666666666668	0.23508333333333334	0.2052083333333333	13.0	23.0	18.0
chr1	941653	941655	0.411	0.2816666666666667	0.16966666666666666	0.13266666666666668	0.13266666666666668	0.411	0.24875000000000005	0.19070833333333337	25.0	16.0	20.5
chr1	925683	925685	0.415	0.16766666666666666	0.11	0.32	0.11	0.415	0.25316666666666665	0.18158333333333332	30.0	14.0	22.0
chr1	940881	940883	0.16166666666666665	0.34	0.1703333333333333	0.1806666666666666	0.16166666666666665	0.34	0.21316666666666667	0.18741666666666668	18.0	26.0	22.0
chr1	935847	935849	0.24266666666666664	0.2796666666666667	0.26766666666666666	0.15066666666666667	0.15066666666666667	0.2796666666666667	0.2351666666666667	0.19291666666666668	22.0	22.0	22.0
chr1	926209	926211	0.16666666666666666	0.168	0.2286666666666667	0.2763333333333333	0.16666666666666666	0.2763333333333333	0.20991666666666667	0.18829166666666666	16.0	28.0	22.0
chr1	940848	940850	0.21600000000000005	0.208	0.20666666666666667	0.17366666666666666	0.17366666666666666	0.21600000000000005	0.20108333333333334	0.187375	14.0	35.0	24.5
chr1	935739	935741	0.20666666666666667	0.16100000000000006	0.2600000000000001	0.1976666666666667	0.16100000000000006	0.2600000000000001	0.20633333333333334	0.1836666666666667	19.0	30.0	24.5
chr1	936221	936223	0.3723333333333333	0.21500000000000008	0.3033333333333333	0.10433333333333328	0.10433333333333328	0.3723333333333333	0.24875	0.17654166666666665	32.0	17.0	24.5
chr1	941719	941721	0.2726666666666667	0.31633333333333336	0.12333333333333335	0.16799999999999998	0.12333333333333335	0.31633333333333336	0.22008333333333333	0.17170833333333335	26.0	24.0	25.0
chr1	924726	924728	0.08333333333333333	0.3453333333333333	0.458	0.3215	0.08333333333333333	0.458	0.30204166666666665	0.19268749999999998	46.0	8.0	27.0
chr1	935755	935757	0.09766666666666664	0.21266666666666664	0.224	0.4243333333333333	0.09766666666666664	0.4243333333333333	0.23966666666666664	0.16866666666666663	35.0	20.0	27.5
chr1	940122	940124	0.15933333333333335	0.25	0.18966666666666665	0.204	0.15933333333333335	0.25	0.20075	0.18004166666666668	20.0	36.0	28.0
chr1	923705	923707	0.184	0.19899999999999995	0.3113333333333333	0.11100000000000004	0.11100000000000004	0.3113333333333333	0.2013333333333333	0.15616666666666668	28.0	34.0	31.0
chr1	925656	925658	0.165	0.134	0.18766666666666668	0.307	0.134	0.307	0.19841666666666669	0.16620833333333335	24.0	38.0	31.0
chr1	936187	936189	0.44833333333333336	0.2663333333333333	0.4126666666666666	0.06699999999999998	0.06699999999999998	0.44833333333333336	0.2985833333333333	0.18279166666666663	54.0	9.0	31.5
chr1	940843	940845	0.13899999999999998	0.25966666666666666	0.2083333333333333	0.17699999999999996	0.13899999999999998	0.25966666666666666	0.196	0.16749999999999998	23.0	40.0	31.5
chr1	931123	931125	0.2045	0.371	0.07466666666666655	0.32333333333333336	0.07466666666666655	0.371	0.243375	0.15902083333333328	50.0	18.0	34.0
chr1	931079	931081	0.1781666666666667	0.2336666666666665	0.10299999999999998	0.27866666666666673	0.10299999999999998	0.27866666666666673	0.198375	0.15068749999999997	33.0	39.0	36.0
chr1	932343	932345	0.20866666666666667	0.16733333333333333	0.15366666666666662	0.17833333333333326	0.15366666666666662	0.20866666666666667	0.17699999999999996	0.16533333333333328	21.0	54.0	37.5
chr1	931106	931108	0.10766666666666667	0.141	0.18400000000000005	0.3086666666666668	0.10766666666666667	0.3086666666666668	0.18533333333333335	0.14650000000000002	31.0	44.0	37.5
chr1	925658	925660	0.165	0.134	0.19333333333333336	0.224	0.134	0.224	0.17908333333333334	0.1565416666666667	24.0	52.0	38.0
chr1	926230	926232	0.13566666666666666	0.11233333333333333	0.173	0.3013333333333333	0.11233333333333333	0.3013333333333333	0.18058333333333326	0.1464583333333333	27.0	50.0	38.5
chr1	924672	924674	0.08333333333333333	0.16666666666666669	0.39166666666666666	0.1721666666666667	0.08333333333333333	0.39166666666666666	0.20345833333333327	0.1433958333333333	46.0	31.0	38.5
chr1	926217	926219	0.2423333333333333	0.32433333333333336	0.08499999999999999	0.14433333333333334	0.08499999999999999	0.32433333333333336	0.199	0.14200000000000002	43.0	37.0	40.0
chr1	931966	931968	0.4046666666666666	0.06300000000000003	0.10033333333333336	0.2813333333333334	0.06300000000000003	0.4046666666666666	0.21233333333333335	0.1376666666666667	57.0	27.0	42.0
chr1	933124	933126	0.21433333333333326	0.21433333333333326	0.09266666666666656	0.21433333333333326	0.09266666666666656	0.21433333333333326	0.1839166666666666	0.1382916666666666	37.0	47.0	42.0
chr1	941724	941726	0.2726666666666667	0.2716666666666667	0.193	0.07333333333333332	0.07333333333333332	0.2726666666666667	0.2026666666666667	0.138	52.0	33.0	42.5
chr1	929961	929963	0.08350000000000002	0.21300000000000008	0.19833333333333325	0.25	0.08350000000000002	0.25	0.18620833333333334	0.13485416666666666	45.0	43.0	44.0
chr1	925522	925524	0.111	0.15	0.4053333333333334	0.07400000000000001	0.07400000000000001	0.4053333333333334	0.18508333333333335	0.12954166666666667	51.0	45.0	48.0
chr1	932037	932039	0.429	0.03666666666666663	0.11733333333333328	0.3853333333333333	0.03666666666666663	0.429	0.2420833333333333	0.13937499999999997	78.0	19.0	48.5
chr1	925527	925529	0.11	0.16066666666666665	0.12733333333333333	0.17699999999999996	0.11	0.17699999999999996	0.14375	0.126875	30.0	67.0	48.5
chr1	930963	930965	0.16666666666666666	0.125	0.111	0.16666666666666666	0.111	0.16666666666666666	0.1423333333333333	0.12666666666666665	29.0	70.0	49.5
chr1	924706	924708	0.1	0.11099999999999996	0.22233333333333333	0.13983333333333334	0.1	0.22233333333333333	0.14329166666666665	0.12164583333333333	34.0	68.0	51.0
chr1	925537	925539	0.08833333333333335	0.10566666666666666	0.10300000000000001	0.32	0.08833333333333335	0.32	0.15425	0.12129166666666667	40.0	63.0	51.5
chr1	929233	929235	0.040000000000000036	0.27633333333333343	0.30200000000000005	0.21	0.040000000000000036	0.30200000000000005	0.20708333333333334	0.12354166666666669	76.0	29.0	52.5
chr1	941647	941649	0.35100000000000003	0.2566666666666667	0.05800000000000001	0.06366666666666666	0.05800000000000001	0.35100000000000003	0.18233333333333335	0.12016666666666667	60.0	49.0	54.5
chr1	925494	925496	0.13333333333333333	0.15933333333333335	0.09666666666666668	0.13899999999999998	0.09666666666666668	0.15933333333333335	0.13208333333333333	0.114375	36.0	76.0	56.0
chr1	940007	940009	0.4231666666666667	0.05033333333333333	0.10000000000000007	0.16166666666666665	0.05033333333333333	0.4231666666666667	0.1837916666666667	0.11706250000000001	65.0	48.0	56.5
chr1	933135	933137	0.15166666666666662	0.08833333333333315	0.11	0.19933333333333325	0.08833333333333315	0.19933333333333325	0.13733333333333325	0.1128333333333332	41.0	72.0	56.5
chr1	924854	924856	0.07849999999999999	0.1985	0.1628333333333333	0.13649999999999998	0.07849999999999999	0.1985	0.1440833333333333	0.11129166666666665	48.0	66.0	57.0
chr1	941656	941658	0.39783333333333337	0.4505	0.0215	0.07816666666666666	0.0215	0.4505	0.237	0.12925	97.0	21.0	59.0
chr1	936204	936206	0.25299999999999995	0.05233333333333329	0.1760000000000001	0.1933333333333333	0.05233333333333329	0.25299999999999995	0.16866666666666666	0.11049999999999997	63.0	57.0	60.0
chr1	941686	941688	0.2833333333333333	0.2963333333333334	0.035333333333333335	0.16733333333333333	0.035333333333333335	0.2963333333333334	0.19558333333333336	0.11545833333333334	79.0	41.0	60.0
chr1	929170	929172	0.1329999999999999	0.18033333333333326	0.09699999999999998	0.08966666666666667	0.08966666666666667	0.18033333333333326	0.12499999999999994	0.10733333333333331	39.0	82.0	60.5
chr1	926248	926250	0.06666666666666668	0.375	0.04666666666666667	0.22	0.04666666666666667	0.375	0.17708333333333334	0.111875	69.0	53.0	61.0
chr1	930605	930607	0.1233333333333333	0.18933333333333324	0.15233333333333332	0.07799999999999985	0.07799999999999985	0.18933333333333324	0.13574999999999993	0.10687499999999989	49.0	73.0	61.0
chr1	941734	941736	0.2333333333333333	0.3833333333333333	0.11	0.034	0.034	0.3833333333333333	0.19016666666666665	0.11208333333333333	82.0	42.0	62.0
chr1	925011	925013	0.25	0.05	0.195	0.17099999999999996	0.05	0.25	0.16649999999999998	0.10824999999999999	66.0	58.0	62.0
chr1	941754	941756	0.5	0.15900000000000006	0.1313333333333333	0.02300000000000001	0.02300000000000001	0.5	0.20333333333333334	0.11316666666666668	94.0	32.0	63.0
chr1	941697	941699	0.2418333333333333	0.19850000000000004	0.040166666666666656	0.2381666666666667	0.040166666666666656	0.2418333333333333	0.1796666666666667	0.10991666666666668	75.0	51.0	63.0
chr1	935817	935819	0.08633333333333337	0.10100000000000008	0.1183333333333334	0.17833333333333334	0.08633333333333337	0.17833333333333334	0.12100000000000005	0.10366666666666671	42.0	84.0	63.0
chr1	928551	928553	0.1333333333333333	0.10566666666666658	0.09199999999999996	0.11066666666666658	0.09199999999999996	0.1333333333333333	0.1104166666666666	0.10120833333333328	38.0	89.0	63.5
chr1	941706	941708	0.29999999999999993	0.31833333333333325	0.08533333333333333	0.034	0.034	0.31833333333333325	0.18441666666666665	0.10920833333333332	82.0	46.0	64.0
chr1	940818	940820	0.07400000000000001	0.07400000000000001	0.16533333333333333	0.2073333333333333	0.07400000000000001	0.2073333333333333	0.13016666666666665	0.10208333333333333	51.0	80.0	65.5
chr1	933655	933657	0.12399999999999987	0.1519999999999999	0.18066666666666675	0.06399999999999982	0.06399999999999982	0.18066666666666675	0.1301666666666666	0.09708333333333322	55.0	81.0	68.0
chr1	929226	929228	0.08283333333333331	0.11483333333333336	0.12649999999999995	0.11550000000000005	0.08283333333333331	0.12649999999999995	0.10991666666666666	0.09637499999999999	47.0	90.0	68.5
chr1	935676	935678	0.20366666666666647	0.044666666666666736	0.07566666666666666	0.2393333333333333	0.044666666666666736	0.2393333333333333	0.1408333333333333	0.09275000000000003	70.0	71.0	70.5
chr1	927125	927127	0.15166666666666673	0.15166666666666673	0.06366666666666665	0.10300000000000008	0.06366666666666665	0.15166666666666673	0.11750000000000005	0.09058333333333335	56.0	86.0	71.0
chr1	928353	928355	0.05549999999999988	0.16649999999999998	0.11149999999999992	0.16649999999999998	0.05549999999999988	0.16649999999999998	0.12499999999999994	0.09024999999999991	61.0	82.0	71.5
chr1	936239	936241	0.2433333333333333	0.08599999999999998	0.04899999999999993	0.1479999999999999	0.04899999999999993	0.2433333333333333	0.13158333333333327	0.0902916666666666	67.0	77.0	72.0
chr1	924730	924732	0.061	0.11033333333333337	0.16233333333333336	0.13316666666666668	0.061	0.16233333333333336	0.11670833333333334	0.08885416666666668	58.0	87.0	72.5
chr1	925670	925672	0.165	0.134	0.03666666666666667	0.236	0.03666666666666667	0.236	0.1429166666666667	0.08979166666666669	77.0	69.0	73.0
chr1	924862	924864	0.053166666666666654	0.15816666666666668	0.16516666666666666	0.09683333333333333	0.053166666666666654	0.16516666666666666	0.11833333333333332	0.08574999999999999	62.0	85.0	73.5
chr1	937367	937369	0.08499999999999996	0.08499999999999996	0.08499999999999996	0.08499999999999996	0.08499999999999996	0.08499999999999996	0.08499999999999996	0.08499999999999996	44.0	105.0	74.5
chr1	923645	923647	0.06733333333333327	0.10466666666666666	0.1013333333333333	0.11400000000000005	0.06733333333333327	0.11400000000000005	0.09683333333333333	0.0820833333333333	53.0	98.0	75.5
chr1	940487	940489	0.023666666666666662	0.19133333333333333	0.087	0.3453333333333334	0.023666666666666662	0.3453333333333334	0.16183333333333333	0.09275	93.0	61.0	77.0
chr1	940430	940432	0.07	0.345	0.020000000000000004	0.2503333333333333	0.020000000000000004	0.345	0.17133333333333334	0.09566666666666668	100.0	56.0	78.0
chr1	925566	925568	0.18000000000000002	0.03333333333333333	0.13266666666666668	0.191	0.03333333333333333	0.191	0.13425	0.08379166666666667	84.0	74.0	79.0
chr1	924510	924512	0.11	0.14400000000000002	0.11	0.05133333333333333	0.05133333333333333	0.14400000000000002	0.10383333333333332	0.07758333333333332	64.0	95.0	79.5
chr1	932001	932003	0.25933333333333336	0.06233333333333334	0.06366666666666666	0.04366666666666666	0.04366666666666666	0.25933333333333336	0.10725	0.07545833333333332	71.0	92.0	81.5
chr1	938652	938654	0.02966666666666662	0.17766666666666664	0.1443333333333333	0.17766666666666664	0.02966666666666662	0.17766666666666664	0.1323333333333333	0.08099999999999996	88.0	75.0	81.5
chr1	924738	924740	0.032333333333333325	0.07033333333333333	0.1910000000000001	0.23166666666666666	0.032333333333333325	0.23166666666666666	0.13133333333333336	0.08183333333333334	85.0	78.0	81.5
chr1	930074	930076	0.25	0.014333333333333418	0.25	0.1389999999999999	0.014333333333333418	0.25	0.16333333333333333	0.08883333333333338	105.0	59.0	82.0
chr1	931816	931818	0.15133333333333332	0.2253333333333333	0.1176666666666666	0.028333333333333318	0.028333333333333318	0.2253333333333333	0.13066666666666665	0.07949999999999999	89.0	79.0	84.0
chr1	935834	935836	0.04166666666666674	0.10366666666666667	0.2096666666666668	0.0490000000000001	0.04166666666666674	0.2096666666666668	0.10100000000000008	0.07133333333333342	74.0	96.0	85.0
chr1	932836	932838	0.012333333333333418	0.27433333333333343	0.11433333333333327	0.2396666666666668	0.012333333333333418	0.27433333333333343	0.16016666666666673	0.08625000000000008	111.0	62.0	86.5
chr1	940676	940678	0.101	0.06433333333333335	0.06133333333333335	0.05966666666666667	0.05966666666666667	0.101	0.07158333333333332	0.06562499999999999	59.0	116.0	87.5
chr1	924463	924465	0.12616666666666668	0.00633333333333333	0.311	0.2483333333333333	0.00633333333333333	0.311	0.17295833333333333	0.08964583333333333	122.0	55.0	88.5
chr1	925019	925021	0.03450000000000003	0.14816666666666667	0.122	0.09716666666666668	0.03450000000000003	0.14816666666666667	0.10045833333333334	0.06747916666666669	80.0	97.0	88.5
chr1	932022	932024	0.24366666666666675	0.09966666666666664	0.02633333333333332	0.07366666666666666	0.02633333333333332	0.24366666666666675	0.11083333333333334	0.06858333333333333	91.0	88.0	89.5
chr1	940600	940602	0.008333333333333345	0.3393333333333333	0.1096666666666667	0.14566666666666672	0.008333333333333345	0.3393333333333333	0.15075000000000002	0.07954166666666668	117.0	64.0	90.5
chr1	927140	927142	0.11266666666666668	0.04300000000000004	0.09066666666666676	0.06733333333333336	0.04300000000000004	0.11266666666666668	0.07841666666666673	0.060708333333333385	72.0	109.0	90.5
chr1	925979	925981	0.08333333333333333	0.15733333333333333	0.07500000000000002	0.034333333333333334	0.034333333333333334	0.15733333333333333	0.0875	0.06091666666666666	81.0	102.0	91.5
chr1	929146	929148	0.042166666666666686	0.06916666666666671	0.043166666666666575	0.15149999999999994	0.042166666666666686	0.15149999999999994	0.07649999999999997	0.05933333333333333	73.0	111.0	92.0
chr1	935761	935763	0.35766666666666663	0.004333333333333357	0.187	0.09899999999999998	0.004333333333333357	0.35766666666666663	0.16199999999999998	0.08316666666666667	127.0	60.0	93.5
chr1	923629	923631	0.215	0.09133333333333334	0.16533333333333333	0.014666666666666675	0.014666666666666675	0.215	0.12158333333333332	0.06812499999999999	104.0	83.0	93.5
chr1	931660	931662	0.10166666666666656	0.03399999999999992	0.08499999999999996	0.10166666666666656	0.03399999999999992	0.10166666666666656	0.08058333333333326	0.05729166666666659	83.0	106.0	94.5
chr1	928535	928537	0.10583333333333332	0.032333333333333325	0.03400000000000003	0.17133333333333334	0.032333333333333325	0.17133333333333334	0.085875	0.059104166666666666	85.0	104.0	94.5
chr1	932265	932267	0.030166666666666675	0.025166666666666667	0.1835	0.13316666666666674	0.025166666666666667	0.1835	0.09300000000000004	0.059083333333333356	92.0	99.0	95.5
chr1	925837	925839	0.02749999999999997	0.282	0.003333333333333327	0.271	0.003333333333333327	0.282	0.14595833333333333	0.07464583333333333	128.0	65.0	96.5
chr1	923739	923741	0.05266666666666667	0.13333333333333336	0.10566666666666663	0.029666666666666675	0.029666666666666675	0.13333333333333336	0.08033333333333333	0.055	87.0	107.0	97.0
chr1	929208	929210	0.11050000000000004	0.027166666666666672	0.11050000000000004	0.07283333333333343	0.027166666666666672	0.11050000000000004	0.08025000000000004	0.05370833333333336	90.0	108.0	99.0
chr1	931176	931178	0.047666666666666635	0.047666666666666635	0.047666666666666635	0.047666666666666635	0.047666666666666635	0.047666666666666635	0.047666666666666635	0.047666666666666635	68.0	131.0	99.5
chr1	932566	932568	0.1110000000000001	0.06300000000000006	0.03200000000000003	0.0936666666666668	0.03200000000000003	0.1110000000000001	0.07491666666666674	0.053458333333333385	86.0	113.0	99.5
chr1	926057	926059	0.24966666666666665	0.012999999999999984	0.15899999999999995	0.013333333333333322	0.012999999999999984	0.24966666666666665	0.10874999999999996	0.06087499999999997	110.0	91.0	100.5
chr1	941577	941579	0.013333333333333322	0.3346666666666666	0.035666666666666666	0.03633333333333332	0.013333333333333322	0.3346666666666666	0.10499999999999997	0.059166666666666645	108.0	94.0	101.0
chr1	925936	925938	0.09266666666666666	0.214	0.02366666666666667	0.019666666666666683	0.019666666666666683	0.214	0.0875	0.05358333333333334	102.0	102.0	102.0
chr1	940610	940612	0.256	0.03566666666666668	0.04166666666666666	0.014000000000000012	0.014000000000000012	0.256	0.08683333333333335	0.05041666666666668	106.0	103.0	104.5
chr1	941452	941454	0.010000000000000007	0.2053333333333333	0.05066666666666664	0.10066666666666667	0.010000000000000007	0.2053333333333333	0.09166666666666667	0.05083333333333334	114.0	100.0	107.0
chr1	939115	939117	0.01983333333333326	0.08233333333333326	0.08233333333333326	0.08233333333333326	0.01983333333333326	0.08233333333333326	0.06670833333333326	0.04327083333333326	101.0	119.0	110.0
chr1	924236	924238	0.06233333333333334	0.1753333333333334	0.021000000000000005	0.018000000000000016	0.018000000000000016	0.1753333333333334	0.0691666666666667	0.043583333333333356	103.0	118.0	110.5
chr1	928586	928588	0.141	0.08733333333333326	0.0023333333333332984	0.19599999999999995	0.0023333333333332984	0.19599999999999995	0.10666666666666663	0.054499999999999965	131.0	93.0	112.0
chr1	939316	939318	0.1429999999999999	0.0050000000000000044	0.10133333333333328	0.10966666666666658	0.0050000000000000044	0.1429999999999999	0.08974999999999994	0.04737499999999997	124.0	101.0	112.5
chr1	926420	926422	0.11066666666666668	0.08566666666666656	0.08066666666666666	0.012000000000000007	0.012000000000000007	0.11066666666666668	0.07224999999999998	0.042124999999999996	112.0	115.0	113.5
chr1	923792	923794	0.021	0.04299999999999999	0.10400000000000001	0.03766666666666666	0.021	0.10400000000000001	0.05141666666666666	0.03620833333333333	99.0	128.0	113.5
chr1	923737	923739	0.010666666666666658	0.04700000000000002	0.17166666666666666	0.06900000000000002	0.010666666666666658	0.17166666666666666	0.07458333333333332	0.04262499999999999	113.0	114.0	113.5
chr1	932459	932461	0.013333333333333308	0.1353333333333333	0.06599999999999995	0.050999999999999934	0.013333333333333308	0.1353333333333333	0.06641666666666662	0.039874999999999966	109.0	120.0	114.5
chr1	933459	933461	0.02533333333333332	0.03566666666666673	0.06366666666666654	0.022666666666666613	0.022666666666666613	0.06366666666666654	0.0368333333333333	0.029749999999999957	95.0	135.0	115.0
chr1	923648	923650	0.08966666666666663	0.0633333333333333	0.013333333333333308	0.08466666666666668	0.013333333333333308	0.08966666666666663	0.06274999999999997	0.03804166666666664	109.0	121.0	115.0
chr1	924989	924991	0.048500000000000015	0.013500000000000012	0.09666666666666668	0.08733333333333337	0.013500000000000012	0.09666666666666668	0.06150000000000003	0.03750000000000002	107.0	123.0	115.0
chr1	941262	941264	0.021666666666666667	0.021333333333333343	0.10666666666666666	0.02799999999999997	0.021333333333333343	0.10666666666666666	0.04441666666666666	0.032875	98.0	133.0	115.5
chr1	926920	926922	0.007333333333333414	0.08333333333333326	0.07533333333333325	0.1383333333333333	0.007333333333333414	0.1383333333333333	0.07608333333333331	0.04170833333333336	119.0	112.0	115.5
chr1	932451	932453	0.02299999999999991	0.02233333333333332	0.03066666666666662	0.04533333333333334	0.02233333333333332	0.04533333333333334	0.030333333333333292	0.026333333333333306	96.0	137.0	116.5
chr1	925871	925873	0.033333333333333326	0.12966666666666668	0.00466666666666668	0.14533333333333334	0.00466666666666668	0.14533333333333334	0.07825000000000001	0.04145833333333335	125.0	110.0	117.5
chr1	925972	925974	0.04633333333333334	0.11533333333333334	0.07933333333333331	0.009000000000000008	0.009000000000000008	0.11533333333333334	0.0625	0.035750000000000004	115.0	122.0	118.5
chr1	926028	926030	0.14449999999999996	0.00449999999999999	0.050833333333333335	0.07849999999999999	0.00449999999999999	0.14449999999999996	0.06958333333333333	0.03704166666666666	126.0	117.0	121.5
chr1	939900	939902	0.1833333333333334	0.03633333333333327	0.010999999999999954	0.006666666666666654	0.006666666666666654	0.1833333333333334	0.05933333333333333	0.03299999999999999	120.0	124.0	122.0
chr1	929193	929195	0.10850000000000004	0.020166666666666663	0.006166666666666765	0.08916666666666673	0.006166666666666765	0.10850000000000004	0.05600000000000005	0.031083333333333407	123.0	126.0	124.5
chr1	935277	935279	0.008666666666666711	0.07466666666666666	0.04333333333333345	0.027666666666666728	0.008666666666666711	0.07466666666666666	0.03858333333333338	0.023625000000000045	116.0	134.0	125.0
chr1	929218	929220	0.0708333333333333	0.043500000000000094	0.00649999999999995	0.0625	0.00649999999999995	0.0708333333333333	0.04583333333333334	0.026166666666666644	121.0	132.0	126.5
chr1	936611	936613	0.007833333333333359	0.0555	0.022500000000000075	0.0555	0.007833333333333359	0.0555	0.035333333333333355	0.021583333333333357	118.0	136.0	127.0
chr1	924952	924954	0.00016666666666667607	0.11783333333333335	0.05499999999999999	0.05616666666666667	0.00016666666666667607	0.11783333333333335	0.05729166666666668	0.028729166666666677	134.0	125.0	129.5
chr1	928553	928555	0.08599999999999998	0.08599999999999998	0.002666666666666595	0.03099999999999992	0.002666666666666595	0.08599999999999998	0.05141666666666662	0.027041666666666606	130.0	129.0	129.5
chr1	924201	924203	0.062	0.06566666666666668	0.060666666666666674	0.0026666666666666644	0.0026666666666666644	0.06566666666666668	0.04775	0.025208333333333333	129.0	130.0	129.5
chr1	941083	941085	0.016500000000000015	0.0006666666666667043	0.1903333333333334	0.00033333333333340764	0.00033333333333340764	0.1903333333333334	0.05195833333333338	0.026145833333333392	133.0	127.0	130.0
chr1	938121	938123	0.0014999999999999456	0.015166666666666662	0.04249999999999998	0.01883333333333337	0.0014999999999999456	0.04249999999999998	0.01949999999999999	0.010499999999999968	132.0	138.0	135.0
